hotspot_id,slot_date,slot_hour,crash_occurred,risk_score,risk_tier,baseline_rate,relative_risk,primary_road,center_lat,center_lng,district_id
480,2026-01-07,17,0,0.5237,critical,0.1168,4.48,BELMONT AVE,36.75343255737922,-119.76558541919232,6
3284,2026-01-07,17,0,0.3785,critical,0.099,3.82,US-101 S/B (VENTURA FREEWAY),34.15024758389337,-118.65191557432463,7
475,2026-01-07,16,0,0.2988,critical,0.1277,2.34,SR-41 N/B,36.75126629178761,-119.7760990170088,6
2022,2026-01-07,17,0,0.293,critical,0.1013,2.89,AIRPORT WY,37.95445832014117,-121.27823680493827,10
2977,2026-01-07,15,0,0.2812,critical,0.1011,2.78,SR-74,33.518464960162746,-117.61964449416044,12
3074,2026-01-07,7,0,0.2579,critical,0.1154,2.23,I-10 E/B (SAN BERNARDINO FWY),34.07766223861072,-117.70331312468146,8
1518,2026-01-07,17,0,0.2508,critical,0.1085,2.31,I-680 N/B,37.98251057853568,-122.06427332319596,4
3701,2026-01-07,16,0,0.2311,critical,0.1064,2.17,EL SEGUNDO BLVD.,33.91550286272068,-118.26620776502996,7
201,2026-01-07,14,0,0.2296,critical,0.0989,2.32,I-5 S/B,38.57947612103728,-121.51173123242788,3
4197,2026-01-07,16,0,0.223,critical,0.1137,1.96,VENTURA BL,34.21714186955556,-119.05502695171393,7
52,2026-01-07,6,0,0.2031,critical,0.1057,1.92,I-80 W/B,37.82558433389739,-122.32293310226402,4
187,2026-01-07,17,1,0.193,critical,0.1151,1.68,I-80 E/B,38.77090014189059,-121.25397669459534,3
4226,2026-01-07,0,0,0.1897,critical,0.1019,1.86,CAMINO DEL SUR,34.41561726428413,-119.86245795239032,5
645,2026-01-07,15,0,0.1889,critical,0.1194,1.58,SR-22 E/B,33.77429415799158,-117.91057863134252,12
959,2026-01-07,17,0,0.183,critical,0.1073,1.71,I-405 S/B (SAN DIEGO FREEWAY),33.85666430546992,-118.28933824577484,7
815,2026-01-07,8,0,0.1793,critical,0.0981,1.83,SR-134 W/B (VENTURA FREEWAY),34.15342028316468,-118.23941111484322,7
153,2026-01-07,17,1,0.1763,critical,0.1555,1.13,I-680 N/B,37.98836450210425,-122.07165432898492,4
714,2026-01-07,18,0,0.1695,critical,0.0983,1.72,I-405 N/B,34.0244146604954,-118.42414053461664,7
731,2026-01-07,18,0,0.1674,critical,0.1091,1.53,I-10 W/B,34.02066437666503,-118.48293221485068,7
1064,2026-01-07,16,0,0.1642,critical,0.1072,1.53,I-805 S/B,32.859120369332466,-117.1843382619562,11
648,2026-01-07,8,0,0.1627,critical,0.1038,1.57,I-5 S/B,33.85534246226136,-117.97420819206592,12
421,2026-01-07,8,0,0.1623,critical,0.0898,1.81,SR-1 N/B,36.96856319316883,-121.8685472169936,5
983,2026-01-07,17,0,0.1582,critical,0.0964,1.64,I-405 N/B,33.7741704759831,-118.07330729233136,12
762,2026-01-07,17,0,0.1579,critical,0.0976,1.62,I-10 E/B (SAN BERNARDINO FREEWAY),34.06912392341728,-118.03317224584266,7
11,2026-01-07,15,1,0.1564,critical,0.0969,1.61,I-80 E/B,38.22153694579977,-122.1377651520369,4
3485,2026-01-07,18,1,0.156,critical,0.0898,1.74,SANTA MONICA BL,34.093313101683194,-118.34926741942992,7
201,2026-01-07,18,0,0.1552,critical,0.0913,1.7,I-5 S/B,38.57947612103728,-121.51173123242788,3
1209,2026-01-07,17,0,0.1527,critical,0.0962,1.59,US-101 NORTHBOUND,34.440959647305434,-119.814961198575,5
1936,2026-01-07,17,0,0.1527,critical,0.0962,1.59,BRIGGSMORE AVE,37.66884627725245,-121.03120140012572,10
40,2026-01-07,6,0,0.1523,critical,0.0912,1.67,I-80 E/B,37.82451288147054,-122.29474158800733,4
580,2026-01-07,18,1,0.1515,critical,0.0788,1.92,SR-91 EASTBOUND,33.8666472304603,-117.7108579396243,12
815,2026-01-07,17,1,0.1511,critical,0.1111,1.36,SR-134 W/B (VENTURA FREEWAY),34.15342028316468,-118.23941111484322,7
1645,2026-01-07,17,0,0.1509,critical,0.0814,1.85,POWER INN RD,38.461050138174286,-121.4025610851491,3
3266,2026-01-07,17,0,0.1509,critical,0.0976,1.55,AVENUE K,34.67423420951314,-118.1479259459079,7
327,2026-01-07,18,1,0.1497,critical,0.0954,1.57,I-5 N/B,37.78032318564095,-121.31577844539156,10
546,2026-01-07,16,0,0.1493,critical,0.0975,1.53,I-10 W/B,34.066606201597274,-117.26479480791464,8
238,2026-01-07,8,0,0.1485,critical,0.0942,1.58,I-80 W/B,38.64833020006815,-121.369202070699,3
3130,2026-01-07,17,0,0.1472,critical,0.1037,1.42,MAIN ST,33.782204414550044,-117.86913029809791,12
347,2026-01-07,8,0,0.1453,critical,0.088,1.65,SR-87 N/B,37.29372688977498,-121.87186936383952,4
405,2026-01-07,15,0,0.145,critical,0.1033,1.4,US-101 S/B,37.44956278159601,-122.11887365625564,4
519,2026-01-07,17,0,0.1444,critical,0.079,1.83,SR-99 S/B,35.36262681851439,-119.03945780183837,6
1102,2026-01-07,14,0,0.1429,critical,0.1073,1.33,SR-125 S/B,32.75948250396081,-117.0043411324493,11
1518,2026-01-07,18,0,0.1429,critical,0.0814,1.76,I-680 N/B,37.98251057853568,-122.06427332319596,4
