hotspot_id,slot_date,slot_hour,crash_occurred,risk_score,risk_tier,baseline_rate,relative_risk,primary_road,center_lat,center_lng,district_id
4071,2026-01-23,16,0,0.3424,critical,0.1173,2.92,WOODSIDE AVE,32.8598331592399,-116.92573009443832,11
773,2026-01-23,17,0,0.286,critical,0.1064,2.69,I-10 E/B (SAN BERNARDINO FREEWAY),34.067130940062086,-118.04355151935832,7
250,2026-01-23,17,1,0.2577,critical,0.1013,2.54,US-101 N/B,37.54584403425096,-122.29267996949302,4
3080,2026-01-23,17,0,0.2538,critical,0.1085,2.34,17TH STREET,33.75844852708818,-117.83066902368674,12
223,2026-01-23,17,0,0.2465,critical,0.1255,1.96,I-5 N/B,38.62393761958439,-121.51401045422962,3
250,2026-01-23,15,0,0.2434,critical,0.1013,2.4,US-101 N/B,37.54584403425096,-122.29267996949302,4
1348,2026-01-23,17,0,0.239,critical,0.101,2.37,SR-37 E/B,38.14980428980558,-122.45118708320892,4
643,2026-01-23,17,0,0.2068,critical,0.0959,2.16,SR-22 EASTBOUND,33.776272913805514,-117.90021782786368,12
1221,2026-01-23,17,0,0.1988,critical,0.0959,2.07,FOURTH ST,40.80584485042882,-124.14629045796865,1
615,2026-01-23,13,0,0.1846,critical,0.1013,1.82,I-10 E/B (SAN BERNARDINO FWY),34.068326732086085,-117.79354199105914,7
2679,2026-01-23,18,0,0.1747,critical,0.0975,1.79,BAKER ST,35.37932535601792,-118.99443689624358,6
771,2026-01-23,18,0,0.1711,critical,0.0898,1.9,I-10 W/B (SAN BERNARDINO FREEWAY),34.07353378292629,-118.05059969289978,7
783,2026-01-23,16,0,0.1621,critical,0.0806,2.01,I-710 S/B (LONG BEACH FREEWAY),34.00315900783054,-118.17425914955597,7
275,2026-01-23,18,0,0.1619,critical,0.079,2.05,I-880 N/B,37.606291837124125,-122.06090825420868,4
76,2026-01-23,17,0,0.1584,critical,0.0987,1.61,I-680 N/B,37.91321573892839,-122.07097401981076,4
983,2026-01-23,17,0,0.1573,critical,0.0964,1.63,I-405 N/B,33.7741704759831,-118.07330729233136,12
750,2026-01-23,18,0,0.1536,critical,0.0936,1.64,SR-60 E/B (POMONA FREEWAY),34.03994510784322,-118.06391731587262,7
1753,2026-01-23,17,0,0.1533,critical,0.107,1.43,SUNRISE BLVD,38.638763079362015,-121.27604859476376,3
1209,2026-01-23,17,0,0.1517,critical,0.0962,1.58,US-101 NORTHBOUND,34.440959647305434,-119.814961198575,5
750,2026-01-23,17,0,0.1509,critical,0.0979,1.54,SR-60 E/B (POMONA FREEWAY),34.03994510784322,-118.06391731587262,7
3266,2026-01-23,17,0,0.15,critical,0.0976,1.54,AVENUE K,34.67423420951314,-118.1479259459079,7
546,2026-01-23,16,0,0.1499,critical,0.0975,1.54,I-10 W/B,34.066606201597274,-117.26479480791464,8
771,2026-01-23,17,0,0.1499,critical,0.1018,1.47,I-10 W/B (SAN BERNARDINO FREEWAY),34.07353378292629,-118.05059969289978,7
100,2026-01-23,15,1,0.1495,critical,0.0982,1.52,I-80 E/B,37.87497196577323,-122.30470407566952,4
3668,2026-01-23,17,0,0.1482,critical,0.0815,1.82,SR-91 W/B,33.87106419601549,-118.05415468538024,7
369,2026-01-23,15,0,0.1477,critical,0.0981,1.51,I-880 S/B,37.37050462122584,-121.90054235278876,4
3091,2026-01-23,17,1,0.1463,critical,0.1041,1.41,I-405 SOUTHBOUND,33.67633319042124,-117.85369664161172,12
179,2026-01-23,18,1,0.1463,critical,0.0802,1.82,I-580 E/B,37.7027859090899,-121.76707148446654,4
1078,2026-01-23,18,0,0.1463,critical,0.0944,1.55,I-8 W/B,32.76281077314097,-117.15594067878588,11
2529,2026-01-23,15,0,0.143,critical,0.0961,1.49,NIBLICK RD,35.61266623871993,-120.68247438217678,5
886,2026-01-23,15,0,0.1425,critical,0.0979,1.46,SR-55 NORTHBOUND,33.68920571207791,-117.86773491140224,12
196,2026-01-23,17,0,0.1416,critical,0.0918,1.54,US-50 E/B,38.56776023791977,-121.49689757980995,3
829,2026-01-23,15,0,0.1415,critical,0.1018,1.39,I-10 E/B (SANTA MONICA FREEWAY),34.0382199243299,-118.31354818979295,7
885,2026-01-23,15,0,0.1415,critical,0.1025,1.38,I-405 SOUTHBOUND,33.68723062637835,-117.87808978071892,12
369,2026-01-23,16,0,0.1402,critical,0.0902,1.55,I-880 S/B,37.37050462122584,-121.90054235278876,4
275,2026-01-23,17,0,0.1399,critical,0.0907,1.54,I-880 N/B,37.606291837124125,-122.06090825420868,4
1664,2026-01-23,15,0,0.1383,critical,0.1096,1.26,HOWE AVE,38.5863793026831,-121.41240874121512,3
