hotspot_id,slot_date,slot_hour,crash_occurred,risk_score,risk_tier,baseline_rate,relative_risk,primary_road,center_lat,center_lng,district_id
577,2026-01-25,15,0,0.1888,critical,0.129,1.46,SR-91 EASTBOUND,33.86915248495226,-117.73864713079728,12
3080,2026-01-25,17,0,0.1728,critical,0.1085,1.59,17TH STREET,33.75844852708818,-117.83066902368674,12
3007,2026-01-25,0,0,0.1587,critical,0.0847,1.87,FULLERTON ROAD,33.97693504222852,-117.90676426896869,7
3028,2026-01-25,0,0,0.1587,critical,0.0841,1.89,LEFFINGWELL ROAD,33.92148479759969,-118.0341998068584,7
3304,2026-01-25,0,0,0.123,critical,0.0717,1.72,SANTA MONICA BL,34.08725563405211,-118.38034631232983,7
2053,2026-01-25,21,0,0.1209,high,0.0165,7.31,CENTER ST,37.95215279904014,-121.28874891034202,10
3490,2026-01-25,0,0,0.1201,high,0.0727,1.65,BLANCHARD ST,34.047543995619506,-118.18545287776712,7
1360,2026-01-25,0,0,0.1196,high,0.0707,1.69,SR-12,38.314572038987016,-122.48576763889116,4
1978,2026-01-25,0,0,0.1173,high,0.071,1.65,SR-99 S/B,38.03437770441375,-121.25730177682772,10
1681,2026-01-25,2,0,0.1152,high,0.0215,5.36,FLORIN RD,38.49627677322055,-121.44701494980336,3
721,2026-01-25,18,0,0.1148,high,0.0662,1.74,I-405 S/B,33.99687474570029,-118.4062761872553,7
879,2026-01-25,18,0,0.1123,high,0.0785,1.43,I-10 W/B (SAN BERNARDINO FWY),34.068691824454206,-117.99498217445068,7
380,2026-01-25,18,0,0.1121,high,0.0965,1.16,SR-237 E/B,37.42010342172136,-121.94884435223044,4
471,2026-01-25,14,0,0.1113,high,0.1059,1.05,SR-41 N/B,36.80274481829895,-119.78488376300945,6
685,2026-01-25,18,0,0.1096,high,0.0779,1.41,US-101 N/B (VENTURA FREEWAY),34.16884751839199,-118.59689273772132,7
1283,2026-01-25,18,0,0.1096,high,0.0786,1.4,I-80 E/B,38.12511208212932,-122.23110603674176,4
3275,2026-01-25,18,0,0.1096,high,0.0863,1.27,PALMDALE BL,34.58142769422835,-118.10794156480148,7
119,2026-01-25,18,0,0.1093,high,0.0896,1.22,I-280 N/B,37.700426149543055,-122.47361148969712,4
674,2026-01-25,18,0,0.1053,high,0.0733,1.44,I-405 N/B,34.29423799153351,-118.4712164138996,7
585,2026-01-25,18,0,0.1047,high,0.0733,1.43,SR-91 EASTBOUND,33.847470332859515,-117.85277822113068,12
62,2026-01-25,18,1,0.1041,high,0.0754,1.38,I-80 E/B,37.77590978451556,-122.40787564835524,4
659,2026-01-25,18,0,0.1034,high,0.0738,1.4,SR-91 W/B,33.85439150596324,-117.89794752040736,12
903,2026-01-25,17,0,0.103,high,0.0989,1.04,I-605 N/B,33.86950068475522,-118.10262422095651,7
59,2026-01-25,17,0,0.1028,high,0.0791,1.3,US-101 N/B,37.72543382956027,-122.39787920606844,4
628,2026-01-25,14,0,0.1025,high,0.1108,0.92,SR-57 N/B (ORANGE FWY),33.99720699520971,-117.8411256606868,7
3919,2026-01-25,18,0,0.1023,high,0.0711,1.44,MISSION AV,33.125052555129095,-117.09686028827636,11
1367,2026-01-25,18,0,0.1017,high,0.0757,1.34,NUT TREE RD,38.36726927386784,-121.95843367133442,4
577,2026-01-25,18,0,0.1006,medium,0.0968,1.04,SR-91 EASTBOUND,33.86915248495226,-117.73864713079728,12
125,2026-01-25,18,0,0.0995,medium,0.0813,1.22,I-880 S/B,37.722598025475406,-122.17990367025688,4
995,2026-01-25,18,0,0.0994,medium,0.0662,1.5,I-15 NORTHBOUND,33.497394720325545,-117.14841690369182,8
2008,2026-01-25,18,0,0.0994,medium,0.0769,1.29,FILBERT ST,37.973211151608254,-121.26143421125832,10
735,2026-01-25,18,0,0.0991,medium,0.0663,1.5,I-405 S/B,33.99049349146831,-118.39922425355688,7
1548,2026-01-25,18,0,0.0988,medium,0.0753,1.31,FIRST ST,37.7015678858547,-121.7388206891773,4
3777,2026-01-25,18,0,0.0988,medium,0.0733,1.35,HAWTHORNE BLVD,33.937397193480486,-118.35317593896043,7
535,2026-01-25,18,0,0.0986,medium,0.0672,1.47,SR-60 W/B,33.94651380894406,-117.28450324035188,8
368,2026-01-25,18,0,0.0983,medium,0.07,1.4,US-101 N/B,37.364594394636406,-121.89320670837247,4
210,2026-01-25,13,0,0.098,medium,0.078,1.26,SR-51 S/B,38.60164158258366,-121.44522582899845,3
62,2026-01-25,17,0,0.0978,medium,0.0894,1.09,I-80 E/B,37.77590978451556,-122.40787564835524,4
338,2026-01-25,18,0,0.0976,medium,0.0678,1.44,US-101 S/B,37.34328743225113,-121.85346752185625,4
3141,2026-01-25,18,0,0.0976,medium,0.075,1.3,SR-57 SOUTHBOUND,33.85834823721329,-117.87720861079524,12
295,2026-01-25,15,0,0.0975,medium,0.0721,1.35,I-880 S/B,37.64392601010386,-122.09463128045245,4
1653,2026-01-25,18,0,0.0973,medium,0.0795,1.22,RIO LINDA BLVD,38.68822192844697,-121.460304014498,3
903,2026-01-25,18,0,0.0968,medium,0.0685,1.41,I-605 N/B,33.86950068475522,-118.10262422095651,7
981,2026-01-25,18,0,0.0968,medium,0.0702,1.38,I-405 S/B,33.77173479785283,-118.04557642791512,12
