hotspot_id,slot_date,slot_hour,crash_occurred,risk_score,risk_tier,baseline_rate,relative_risk,primary_road,center_lat,center_lng,district_id
53,2026-01-29,6,0,0.3865,critical,0.151,2.56,I-80 W/B,37.82797214346718,-122.3125239142691,3.0
745,2026-01-29,15,0,0.3698,critical,0.0991,3.73,I-210 W/B (FOOTHILL FREEWAY),34.14551108552336,-118.07958519279084,7.0
366,2026-01-29,18,0,0.2899,critical,0.1187,2.44,SR-237 W/B,37.403618355279455,-122.02162582542806,4.0
1081,2026-01-29,17,0,0.2567,critical,0.1186,2.16,I-15 S/B,32.832208810855604,-117.11862723842408,11.0
380,2026-01-29,18,0,0.1848,critical,0.0965,1.92,SR-237 E/B,37.42010342172136,-121.94884435223044,4.0
959,2026-01-29,17,0,0.183,critical,0.1073,1.71,I-405 S/B (SAN DIEGO FREEWAY),33.85666430546992,-118.28933824577484,7.0
337,2026-01-29,18,0,0.1742,critical,0.1133,1.54,I-280 N/B,37.32799417006896,-121.887733721425,4.0
731,2026-01-29,18,0,0.1714,critical,0.1091,1.57,I-10 W/B,34.02066437666503,-118.48293221485068,7.0
366,2026-01-29,15,1,0.1707,critical,0.1079,1.58,SR-237 W/B,37.403618355279455,-122.02162582542806,4.0
652,2026-01-29,16,0,0.1694,critical,0.1142,1.48,SR-57 SOUTHBOUND,33.82028075803024,-117.87316811956408,7.0
253,2026-01-29,8,0,0.1646,critical,0.0906,1.82,SR-92 W/B,37.55170972467853,-122.30003221490276,3.0
372,2026-01-29,8,0,0.1568,critical,0.0791,1.98,US-101 S/B,37.37762259092655,-121.93601395437052,4.0
810,2026-01-29,18,0,0.1549,critical,0.079,1.96,SR-134 E/B (VENTURA FREEWAY),34.15175536115617,-118.28795862684902,7.0
1753,2026-01-29,17,0,0.1543,critical,0.107,1.44,SUNRISE BLVD,38.638763079362015,-121.27604859476376,3.0
40,2026-01-29,6,0,0.1516,critical,0.0912,1.66,I-80 E/B,37.82451288147054,-122.29474158800733,3.0
1645,2026-01-29,17,0,0.1509,critical,0.0814,1.85,POWER INN RD,38.461050138174286,-121.4025610851491,3.0
400,2026-01-29,18,0,0.1496,critical,0.0868,1.72,US-101 N/B,37.40833084104184,-122.06748014890914,4.0
546,2026-01-29,16,0,0.1493,critical,0.0975,1.53,I-10 W/B,34.066606201597274,-117.26479480791464,7.0
1148,2026-01-29,18,1,0.1493,critical,0.0926,1.61,SR-67 S/B,32.81388331455913,-116.96336114901406,11.0
3358,2026-01-29,18,0,0.1481,critical,0.0913,1.62,I-5 N/B (GOLDEN STATE FREEWAY),34.185667284124094,-118.31289028307803,7.0
112,2026-01-29,15,0,0.148,critical,0.1022,1.45,US-101 S/B,37.60206726026106,-122.37660597250414,3.0
53,2026-01-29,8,1,0.1459,critical,0.0863,1.69,I-80 W/B,37.82797214346718,-122.3125239142691,3.0
366,2026-01-29,17,0,0.1445,critical,0.1115,1.3,SR-237 W/B,37.403618355279455,-122.02162582542806,4.0
1296,2026-01-29,17,0,0.1445,critical,0.1036,1.39,NORTH TEXAS STREET,38.26753948441157,-122.03430006605797,3.0
407,2026-01-29,17,0,0.1444,critical,0.0788,1.83,US-101 S/B,37.45896637869116,-122.14395046434684,4.0
793,2026-01-29,8,0,0.1442,critical,0.0953,1.51,I-605 SOUTHBOUND,33.98314641269947,-118.0768335019316,7.0
1326,2026-01-29,18,0,0.1439,critical,0.088,1.63,I-80 E/B,38.25221398741645,-122.06880615578524,3.0
1075,2026-01-29,16,0,0.1414,critical,0.0961,1.47,I-5 N/B,32.76170342723961,-117.2041393101327,11.0
862,2026-01-29,8,0,0.1413,critical,0.0793,1.78,I-210 E/B (FOOTHILL FWY),34.13584984558233,-117.96828129102326,7.0
221,2026-01-29,17,0,0.1412,critical,0.0909,1.55,US-50 E/B,38.55594584767113,-121.4144388509745,3.0
617,2026-01-29,8,1,0.1411,critical,0.0794,1.78,SR-60 W/B (POMONA FWY),34.03122807317879,-117.70268168554084,7.0
829,2026-01-29,15,0,0.141,critical,0.1018,1.39,I-10 E/B (SANTA MONICA FREEWAY),34.0382199243299,-118.31354818979295,7.0
2163,2026-01-29,18,1,0.1402,critical,0.0791,1.77,WOLFE RD,37.33637372774707,-122.01793312063684,4.0
328,2026-01-29,16,0,0.1396,critical,0.0902,1.55,I-5 N/B,37.78262870364418,-121.3052859563872,3.0
4215,2026-01-29,8,0,0.1393,critical,0.095,1.47,HOLLISTER AVE,34.43897949773864,-119.78727219054277,
731,2026-01-29,16,0,0.1388,critical,0.1018,1.36,I-10 W/B,34.02066437666503,-118.48293221485068,7.0
386,2026-01-29,17,0,0.1382,critical,0.0919,1.5,I-280 N/B,37.33284077549885,-122.06680660201424,4.0
400,2026-01-29,17,0,0.1382,critical,0.0928,1.49,US-101 N/B,37.40833084104184,-122.06748014890914,4.0
62,2026-01-29,17,1,0.1378,critical,0.0894,1.54,I-80 E/B,37.77590978451556,-122.40787564835524,3.0
112,2026-01-29,17,1,0.1378,critical,0.0889,1.55,US-101 S/B,37.60206726026106,-122.37660597250414,3.0
1530,2026-01-29,17,0,0.1378,critical,0.0791,1.74,MARKET ST,37.97079971313651,-122.04951278375846,3.0
571,2026-01-29,17,0,0.1372,critical,0.0978,1.4,I-15 N/B,34.244583388047495,-117.43388252016656,7.0
408,2026-01-29,17,0,0.137,critical,0.0992,1.38,US-101 N/B,37.4648500228965,-122.1512952304356,4.0
1073,2026-01-29,15,0,0.1367,critical,0.0979,1.4,I-5 S/B,32.77666837677384,-117.20771727507528,11.0
4205,2026-01-29,18,1,0.1365,critical,0.0921,1.48,US-101 N/B (VENTURA FREEWAY),34.22362570398743,-119.138197775045,
