hotspot_id,slot_date,slot_hour,crash_occurred,risk_score,risk_tier,baseline_rate,relative_risk,primary_road,center_lat,center_lng,district_id
1775,2026-01-21,17,0,0.382,critical,0.099,3.86,ELKHORN BLVD,38.695108515291736,-121.36084227081284,3
650,2026-01-21,8,1,0.3552,critical,0.1013,3.5,I-5 S/B,33.84892274947516,-117.96717566566532,12
2977,2026-01-21,15,0,0.2812,critical,0.1011,2.78,SR-74,33.518464960162746,-117.61964449416044,12
3080,2026-01-21,17,0,0.2551,critical,0.1085,2.35,17TH STREET,33.75844852708818,-117.83066902368674,12
201,2026-01-21,14,0,0.2296,critical,0.0989,2.32,I-5 S/B,38.57947612103728,-121.51173123242788,3
217,2026-01-21,18,0,0.2259,critical,0.1154,1.96,US-50 W/B,38.56069739939737,-121.4609505121279,3
279,2026-01-21,7,0,0.2233,critical,0.107,2.09,SR-92 W/B,37.61559254169433,-122.1527662578624,4
4226,2026-01-21,0,0,0.1897,critical,0.1019,1.86,CAMINO DEL SUR,34.41561726428413,-119.86245795239032,5
959,2026-01-21,17,0,0.183,critical,0.1073,1.71,I-405 S/B (SAN DIEGO FREEWAY),33.85666430546992,-118.28933824577484,7
363,2026-01-21,16,0,0.1819,critical,0.1072,1.7,SR-237 W/B,37.4083323663902,-122.00083685872949,4
3776,2026-01-21,18,0,0.18,critical,0.0806,2.23,INGLEWOOD AVE,33.93538058362292,-118.36352173549336,7
1187,2026-01-21,8,0,0.1751,critical,0.0963,1.82,US-101 N/B (VENTURA FREEWAY),34.25945933709613,-119.22905824428886,7
192,2026-01-21,17,1,0.1724,critical,0.1095,1.57,SR-65 N/B,38.79203186041489,-121.2942897465517,3
462,2026-01-21,7,0,0.1692,critical,0.1336,1.27,SR-99 S/B,36.71200653028873,-119.78183984380703,6
3776,2026-01-21,17,0,0.1672,critical,0.0806,2.07,INGLEWOOD AVE,33.93538058362292,-118.36352173549336,7
32,2026-01-21,17,1,0.1656,critical,0.0974,1.7,US-101 S/B,38.43306861706008,-122.71891226121843,4
392,2026-01-21,18,0,0.1653,critical,0.0904,1.83,SR-87 N/B,37.31973436187194,-121.89079824870194,4
301,2026-01-21,14,0,0.1636,critical,0.096,1.7,I-880 N/B,37.63805006494627,-122.08727445731316,4
648,2026-01-21,8,0,0.1627,critical,0.1038,1.57,I-5 S/B,33.85534246226136,-117.97420819206592,12
474,2026-01-21,17,1,0.1623,critical,0.0969,1.67,SR-41 N/B,36.759550324752254,-119.77284751237252,6
791,2026-01-21,17,0,0.1579,critical,0.0969,1.63,I-605 NORTHBOUND,33.99154648406138,-118.07350778475464,7
201,2026-01-21,18,1,0.1552,critical,0.0913,1.7,I-5 S/B,38.57947612103728,-121.51173123242788,3
3141,2026-01-21,15,0,0.1549,critical,0.0813,1.91,SR-57 SOUTHBOUND,33.85834823721329,-117.87720861079524,12
1753,2026-01-21,17,0,0.1543,critical,0.107,1.44,SUNRISE BLVD,38.638763079362015,-121.27604859476376,3
40,2026-01-21,6,1,0.1523,critical,0.0912,1.67,I-80 E/B,37.82451288147054,-122.29474158800733,4
537,2026-01-21,15,0,0.1515,critical,0.0965,1.57,SR-60 E/B,34.00077639771256,-117.3685430273892,8
1011,2026-01-21,7,0,0.1501,critical,0.0976,1.54,I-5 N/B,33.20495171526244,-117.38090446676784,11
107,2026-01-21,8,0,0.1493,critical,0.0886,1.69,I-280 S/B,37.632394409988194,-122.44151435636522,4
