hotspot_id,slot_date,slot_hour,crash_occurred,risk_score,risk_tier,baseline_rate,relative_risk,primary_road,center_lat,center_lng,district_id
2075,2026-01-05,18,0,0.6033,critical,0.1171,5.15,ELEVENTH STREET,37.75693080299912,-121.35350975248402,3.0
53,2026-01-05,6,1,0.4424,critical,0.151,2.93,I-80 W/B,37.82797214346718,-122.3125239142691,3.0
1775,2026-01-05,17,0,0.3813,critical,0.099,3.85,ELKHORN BLVD,38.695108515291736,-121.36084227081284,3.0
1641,2026-01-05,16,0,0.3548,critical,0.0991,3.58,FLORIN RD,38.49273286530126,-121.42905060732454,3.0
103,2026-01-05,17,0,0.3408,critical,0.099,3.44,US-101 N/B,37.58340849347539,-122.32641710045758,3.0
250,2026-01-05,17,0,0.3054,critical,0.1013,3.01,US-101 N/B,37.54584403425096,-122.29267996949302,3.0
250,2026-01-05,15,0,0.2884,critical,0.1013,2.85,US-101 N/B,37.54584403425096,-122.29267996949302,3.0
40,2026-01-05,6,0,0.1523,critical,0.0912,1.67,I-80 E/B,37.82451288147054,-122.29474158800733,3.0
327,2026-01-05,18,0,0.1493,critical,0.0954,1.56,I-5 N/B,37.78032318564095,-121.31577844539156,3.0
75,2026-01-05,8,0,0.1477,critical,0.0943,1.57,SR-24 E/B,37.87064641771981,-122.1918449286171,3.0
59,2026-01-05,17,0,0.1469,critical,0.0791,1.86,US-101 N/B,37.72543382956027,-122.39787920606844,3.0
53,2026-01-05,8,0,0.145,critical,0.0863,1.68,I-80 W/B,37.82797214346718,-122.3125239142691,3.0
2063,2026-01-05,17,0,0.145,critical,0.0984,1.47,MAIN ST,37.95544774197923,-121.2393243140412,3.0
155,2026-01-05,17,0,0.1435,critical,0.0977,1.47,SR-242 N/B,38.00369474412134,-122.03723721592075,3.0
125,2026-01-05,17,0,0.1421,critical,0.1016,1.4,I-880 S/B,37.722598025475406,-122.17990367025688,3.0
113,2026-01-05,16,0,0.141,critical,0.0905,1.56,I-280 N/B,37.72169860684527,-122.44680264771878,3.0
57,2026-01-05,17,0,0.1408,critical,0.0922,1.53,I-80 W/B,37.83274535811673,-122.29170201637908,3.0
198,2026-01-05,17,0,0.1408,critical,0.0933,1.51,US-50 W/B,38.565429043820295,-121.50745352862197,3.0
1393,2026-01-05,17,0,0.1408,critical,0.1032,1.36,US-101 N/B,37.9021532067726,-122.5137695388498,3.0
327,2026-01-05,17,0,0.1391,critical,0.0916,1.52,I-5 N/B,37.78032318564095,-121.31577844539156,3.0
56,2026-01-05,17,1,0.1362,critical,0.0951,1.43,I-80 W/B,37.84682300250585,-122.296034981633,3.0
1664,2026-01-05,15,0,0.1357,critical,0.1096,1.24,HOWE AVE,38.5863793026831,-121.41240874121512,3.0
1298,2026-01-05,8,0,0.1355,critical,0.0786,1.72,AIR BASE PARKWAY,38.269910155287775,-122.02382053798988,3.0
156,2026-01-05,16,0,0.1334,critical,0.1048,1.27,SR-4 E/B,38.006062040347786,-122.02678465331088,3.0
57,2026-01-05,15,0,0.1329,critical,0.0922,1.44,I-80 W/B,37.83274535811673,-122.29170201637908,3.0
56,2026-01-05,16,0,0.1327,critical,0.1131,1.17,I-80 W/B,37.84682300250585,-122.296034981633,3.0
198,2026-01-05,16,0,0.131,critical,0.0933,1.4,US-50 W/B,38.565429043820295,-121.50745352862197,3.0
224,2026-01-05,18,0,0.1301,critical,0.0766,1.7,I-5 S/B,38.62979067670563,-121.52143129372485,3.0
1382,2026-01-05,17,0,0.1295,critical,0.0915,1.41,W COURT ST,38.68221159066719,-121.7910778773882,3.0
1863,2026-01-05,17,0,0.1295,critical,0.0931,1.39,REDWOOD RD,37.69337387305138,-122.07629910711051,3.0
156,2026-01-05,18,1,0.1289,high,0.081,1.59,SR-4 E/B,38.006062040347786,-122.02678465331088,3.0
101,2026-01-05,15,0,0.1286,high,0.0948,1.36,I-80 E/B,37.880813915004,-122.31207971246998,3.0
297,2026-01-05,8,0,0.1281,high,0.0842,1.52,I-880 N/B,37.61217209122324,-122.06826257885092,3.0
1628,2026-01-05,8,0,0.127,high,0.0808,1.57,STOCKTON BLVD,38.47866801473501,-121.42478568969965,3.0
17,2026-01-05,17,0,0.1264,high,0.0781,1.62,I-80 E/B,38.26279567666833,-122.05525561346208,3.0
121,2026-01-05,17,0,0.1264,high,0.0783,1.61,I-280 N/B,37.67226164519562,-122.46492068892886,3.0
1298,2026-01-05,17,1,0.1263,high,0.0786,1.61,AIR BASE PARKWAY,38.269910155287775,-122.02382053798988,3.0
1600,2026-01-05,17,0,0.1253,high,0.0954,1.31,N BEALE RD,39.126965696170544,-121.57219073828344,3.0
1283,2026-01-05,18,0,0.1251,high,0.0786,1.59,I-80 E/B,38.12511208212932,-122.23110603674176,3.0
125,2026-01-05,18,0,0.1249,high,0.0813,1.54,I-880 S/B,37.722598025475406,-122.17990367025688,3.0
291,2026-01-05,18,0,0.1242,high,0.0736,1.69,I-580 E/B,37.69817864270866,-121.9217669202609,3.0
250,2026-01-05,16,0,0.1237,high,0.0882,1.4,US-101 N/B,37.54584403425096,-122.29267996949302,3.0
1627,2026-01-05,17,0,0.1233,high,0.0874,1.41,ELSIE AVE,38.47279640205255,-121.417376970641,3.0
1664,2026-01-05,17,0,0.1233,high,0.0884,1.4,HOWE AVE,38.5863793026831,-121.41240874121512,3.0
1796,2026-01-05,16,0,0.1229,high,0.0977,1.26,US-50 W/B,38.55704440430035,-121.37533232817222,3.0
295,2026-01-05,17,1,0.1225,high,0.0778,1.57,I-880 S/B,37.64392601010386,-122.09463128045245,3.0
308,2026-01-05,17,0,0.1225,high,0.0761,1.61,MITCHELL ROAD,37.57480849204232,-120.94207597504042,3.0
1469,2026-01-05,17,0,0.1223,high,0.0803,1.52,FAIRMONT DRIVE,37.70625136735119,-122.11921445202375,3.0
260,2026-01-05,18,0,0.1221,high,0.0726,1.68,I-880 N/B,37.50146873393432,-121.95677925654108,3.0
1468,2026-01-05,8,0,0.1216,high,0.0819,1.49,CASTRO VALLEY BLVD,37.69100702246669,-122.08671589360328,3.0
156,2026-01-05,17,0,0.1215,high,0.081,1.5,SR-4 E/B,38.006062040347786,-122.02678465331088,3.0
207,2026-01-05,17,0,0.1215,high,0.0807,1.51,SR-51 N/B,38.58293774150992,-121.462079028152,3.0
23,2026-01-05,17,0,0.1204,high,0.0741,1.62,I-780 W/B,38.08879617441362,-122.22548609036652,3.0
148,2026-01-05,17,1,0.1204,high,0.0733,1.64,US-101 N/B,37.994649113231546,-122.53692380219584,3.0
1775,2026-01-05,15,1,0.1195,high,0.0888,1.35,ELKHORN BLVD,38.695108515291736,-121.36084227081284,3.0
1631,2026-01-05,8,0,0.1193,high,0.0743,1.61,SR-99 N/B,38.46692377646179,-121.40996876905966,3.0
