hotspot_id,slot_date,slot_hour,crash_occurred,risk_score,risk_tier,baseline_rate,relative_risk,primary_road,center_lat,center_lng,district_id
2075,2026-01-26,18,0,0.6033,critical,0.1171,5.15,ELEVENTH STREET,37.75693080299912,-121.35350975248402,3.0
53,2026-01-26,6,1,0.4424,critical,0.151,2.93,I-80 W/B,37.82797214346718,-122.3125239142691,3.0
1775,2026-01-26,17,0,0.3813,critical,0.099,3.85,ELKHORN BLVD,38.695108515291736,-121.36084227081284,3.0
1641,2026-01-26,16,0,0.3548,critical,0.0991,3.58,FLORIN RD,38.49273286530126,-121.42905060732454,3.0
157,2026-01-26,18,0,0.2087,critical,0.1079,1.93,SR-242 N/B,37.99547167667793,-122.04030692700088,3.0
219,2026-01-26,17,0,0.1682,critical,0.1102,1.53,SR-99 N/B,38.55017879406972,-121.474650969244,3.0
2081,2026-01-26,4,0,0.1654,critical,0.1015,1.63,I-580 WESTBOUND,37.7448028938984,-121.57886905410484,3.0
253,2026-01-26,8,0,0.1634,critical,0.0906,1.8,SR-92 W/B,37.55170972467853,-122.30003221490276,3.0
278,2026-01-26,15,0,0.1541,critical,0.0971,1.59,SR-92 E/B,37.63331540818688,-122.10809387569785,3.0
1565,2026-01-26,18,0,0.1473,critical,0.0914,1.61,SR-49 (GRASS VALLEY HIGHWAY),38.93875701174508,-121.10120762032746,3.0
53,2026-01-26,8,0,0.145,critical,0.0863,1.68,I-80 W/B,37.82797214346718,-122.3125239142691,3.0
152,2026-01-26,17,0,0.1434,critical,0.1056,1.36,SR-4 E/B,37.99895770896276,-122.05813884980182,3.0
230,2026-01-26,17,0,0.1434,critical,0.1043,1.37,SR-99 N/B,38.54198782866921,-121.47779255502356,3.0
2081,2026-01-26,6,0,0.1424,critical,0.0812,1.75,I-580 WESTBOUND,37.7448028938984,-121.57886905410484,3.0
230,2026-01-26,16,0,0.141,critical,0.0899,1.57,SR-99 N/B,38.54198782866921,-121.47779255502356,3.0
1326,2026-01-26,18,0,0.1402,critical,0.088,1.59,I-80 E/B,38.25221398741645,-122.06880615578524,3.0
157,2026-01-26,15,0,0.1378,critical,0.0789,1.75,SR-242 N/B,37.99547167667793,-122.04030692700088,3.0
219,2026-01-26,14,1,0.1365,critical,0.0807,1.69,SR-99 N/B,38.55017879406972,-121.474650969244,3.0
56,2026-01-26,17,0,0.1362,critical,0.0951,1.43,I-80 W/B,37.84682300250585,-122.296034981633,3.0
178,2026-01-26,17,0,0.134,critical,0.0868,1.54,I-580 EASTBOUND,37.7004438870495,-121.7775163481752,3.0
56,2026-01-26,16,0,0.1327,critical,0.1131,1.17,I-80 W/B,37.84682300250585,-122.296034981633,3.0
1308,2026-01-26,16,0,0.131,critical,0.1038,1.26,I-80 W/B,38.34376084494284,-121.99608525934958,3.0
1397,2026-01-26,16,0,0.1299,critical,0.0899,1.44,ASHBY AV,37.85636201795318,-122.25437301730128,3.0
1382,2026-01-26,17,0,0.1295,critical,0.0915,1.41,W COURT ST,38.68221159066719,-121.7910778773882,3.0
1863,2026-01-26,17,1,0.1295,critical,0.0931,1.39,REDWOOD RD,37.69337387305138,-122.07629910711051,3.0
158,2026-01-26,8,0,0.1293,high,0.0837,1.54,SR-4 W/B,38.01910929106772,-121.93574002983114,3.0
313,2026-01-26,15,0,0.1282,high,0.089,1.44,SR-99 N/B,37.97551469584342,-121.2509176686632,3.0
2048,2026-01-26,17,0,0.1278,high,0.0791,1.62,MARTIN LUTHER KING BL,37.94031297752308,-121.27401072090302,3.0
1628,2026-01-26,8,0,0.127,high,0.0808,1.57,STOCKTON BLVD,38.47866801473501,-121.42478568969965,3.0
157,2026-01-26,16,0,0.1268,high,0.0955,1.33,SR-242 N/B,37.99547167667793,-122.04030692700088,3.0
230,2026-01-26,15,0,0.1266,high,0.0863,1.47,SR-99 N/B,38.54198782866921,-121.47779255502356,3.0
1359,2026-01-26,15,0,0.1262,high,0.1006,1.25,SR-12,38.30877478754679,-122.47835947240426,3.0
114,2026-01-26,18,0,0.1246,high,0.075,1.66,I-280 N/B,37.71346021905698,-122.44982366491745,3.0
165,2026-01-26,8,0,0.1244,high,0.0823,1.51,I-680 N/B,37.89912808188281,-122.06666263003504,3.0
1719,2026-01-26,8,0,0.1243,high,0.0774,1.61,WATT AVE,38.63782358364213,-121.38293111041172,3.0
209,2026-01-26,17,0,0.1241,high,0.0758,1.64,SR-51 S/B,38.5934537314883,-121.44837188633296,3.0
1493,2026-01-26,18,0,0.1237,high,0.0769,1.61,SECOND ST,37.972385675835234,-122.53557881381452,3.0
295,2026-01-26,17,0,0.1225,high,0.0778,1.57,I-880 S/B,37.64392601010386,-122.09463128045245,3.0
308,2026-01-26,17,0,0.1225,high,0.0761,1.61,MITCHELL ROAD,37.57480849204232,-120.94207597504042,3.0
1704,2026-01-26,8,0,0.1215,high,0.086,1.41,WATT AVE,38.64600863588375,-121.37977724844156,3.0
114,2026-01-26,17,0,0.1204,high,0.075,1.6,I-280 N/B,37.71346021905698,-122.44982366491745,3.0
157,2026-01-26,17,0,0.1204,high,0.0747,1.61,SR-242 N/B,37.99547167667793,-122.04030692700088,3.0
1303,2026-01-26,8,0,0.1202,high,0.0827,1.45,AIR BASE PARKWAY,38.273375794873296,-122.0417011390909,3.0
1775,2026-01-26,15,0,0.1195,high,0.0888,1.35,ELKHORN BLVD,38.695108515291736,-121.36084227081284,3.0
1301,2026-01-26,8,0,0.1193,high,0.0744,1.6,EAST TRAVIS BOULEVARD,38.25586382462951,-122.0194994033488,3.0
300,2026-01-26,17,0,0.1189,high,0.0746,1.59,I-880 S/B,37.63217312216779,-122.07991812080355,3.0
1458,2026-01-26,18,0,0.1184,high,0.0735,1.61,I-238 N/B,37.68977195977,-122.12531965403991,3.0
1641,2026-01-26,18,0,0.1184,high,0.0735,1.61,FLORIN RD,38.49273286530126,-121.42905060732454,3.0
1641,2026-01-26,17,0,0.118,high,0.0799,1.48,FLORIN RD,38.49273286530126,-121.42905060732454,3.0
38,2026-01-26,17,0,0.1178,high,0.0723,1.63,I-880 N/B,37.798734143851824,-122.27566928442444,3.0
53,2026-01-26,17,0,0.1178,high,0.0728,1.62,I-80 W/B,37.82797214346718,-122.3125239142691,3.0
152,2026-01-26,15,0,0.1163,high,0.0754,1.54,SR-4 E/B,37.99895770896276,-122.05813884980182,3.0
1786,2026-01-26,14,0,0.1159,high,0.0963,1.2,FULTON AVE,38.588702869338256,-121.40184248835055,3.0
1303,2026-01-26,18,0,0.1159,high,0.0709,1.64,AIR BASE PARKWAY,38.273375794873296,-122.0417011390909,3.0
1775,2026-01-26,18,0,0.1159,high,0.0717,1.62,ELKHORN BLVD,38.695108515291736,-121.36084227081284,3.0
1505,2026-01-26,17,0,0.1158,high,0.0764,1.51,GALINDO ST,37.973167545377706,-122.03906462321537,3.0
269,2026-01-26,15,0,0.1153,high,0.0769,1.5,I-680 SOUTHBOUND,37.547420183380574,-121.92062622460142,3.0
300,2026-01-26,18,0,0.1153,high,0.0717,1.61,I-880 S/B,37.63217312216779,-122.07991812080355,3.0
1714,2026-01-26,8,0,0.115,high,0.0716,1.61,HILLSDALE BLVD,38.6646984836329,-121.362890435647,3.0
1318,2026-01-26,16,0,0.1148,high,0.0872,1.32,PENNSYLVANIA AVENUE,38.248750972061856,-122.05093134921472,3.0
87,2026-01-26,16,0,0.1146,high,0.0769,1.49,I-80 E/B,37.93708116240352,-122.32943472127528,3.0
152,2026-01-26,16,0,0.1146,high,0.0754,1.52,SR-4 E/B,37.99895770896276,-122.05813884980182,3.0
278,2026-01-26,16,1,0.1132,high,0.0777,1.46,SR-92 E/B,37.63331540818688,-122.10809387569785,3.0
165,2026-01-26,15,0,0.1129,high,0.0736,1.53,I-680 N/B,37.89912808188281,-122.06666263003504,3.0
1318,2026-01-26,17,0,0.1124,high,0.0747,1.5,PENNSYLVANIA AVENUE,38.248750972061856,-122.05093134921472,3.0
1498,2026-01-26,17,1,0.1124,high,0.0742,1.51,US-101 N/B,37.96315560198607,-122.51040629581452,3.0
1516,2026-01-26,17,0,0.1124,high,0.0735,1.53,CLAYTON RD,37.96268416234184,-121.98557529870791,3.0
1862,2026-01-26,17,0,0.1124,high,0.0741,1.52,GROVE WAY,37.68749985322248,-122.06893897396444,3.0
1498,2026-01-26,18,0,0.1117,high,0.0831,1.34,US-101 N/B,37.96315560198607,-122.51040629581452,3.0
1529,2026-01-26,18,0,0.1117,high,0.083,1.35,CONTRA COSTA BL,37.97428632379602,-122.0673397412713,3.0
2048,2026-01-26,18,0,0.1117,high,0.083,1.35,MARTIN LUTHER KING BL,37.94031297752308,-121.27401072090302,3.0
79,2026-01-26,16,0,0.1114,high,0.0648,1.72,SR-24 E/B TO I-680 N/B,37.89675905875716,-122.07710089564792,3.0
1731,2026-01-26,15,0,0.1107,high,0.0798,1.39,ELVERTA RD,38.71036293742002,-121.39369654118002,3.0
56,2026-01-26,11,0,0.1104,high,0.0977,1.13,I-80 W/B,37.84682300250585,-122.296034981633,3.0
1863,2026-01-26,14,0,0.1103,high,0.0984,1.12,REDWOOD RD,37.69337387305138,-122.07629910711051,3.0
1553,2026-01-26,17,0,0.1099,high,0.0715,1.54,VASCO RD,37.86860150028482,-121.66643334550068,3.0
1714,2026-01-26,17,0,0.1099,high,0.0716,1.53,HILLSDALE BLVD,38.6646984836329,-121.362890435647,3.0
1896,2026-01-26,17,0,0.1099,high,0.0723,1.52,SCENIC DR,37.65411008949513,-120.95979386391984,3.0
2075,2026-01-26,17,0,0.1099,high,0.0721,1.52,ELEVENTH STREET,37.75693080299912,-121.35350975248402,3.0
1332,2026-01-26,18,0,0.1096,high,0.0688,1.59,TRANCAS ST,38.31916573225925,-122.3024045762338,3.0
1731,2026-01-26,18,0,0.1096,high,0.0692,1.58,ELVERTA RD,38.71036293742002,-121.39369654118002,3.0
1786,2026-01-26,18,0,0.1096,high,0.067,1.64,FULTON AVE,38.588702869338256,-121.40184248835055,3.0
1862,2026-01-26,18,0,0.1096,high,0.0695,1.58,GROVE WAY,37.68749985322248,-122.06893897396444,3.0
1925,2026-01-26,18,0,0.1096,high,0.0664,1.65,HATCH ROAD,37.61290096500903,-120.97561177624934,3.0
1766,2026-01-26,16,0,0.1091,high,0.0781,1.4,WALERGA RD,38.709150073139874,-121.36510905072448,3.0
2093,2026-01-26,16,0,0.1091,high,0.0783,1.39,GEER RD,37.51956621305645,-120.84771256058708,3.0
295,2026-01-26,15,0,0.109,high,0.0721,1.51,I-880 S/B,37.64392601010386,-122.09463128045245,3.0
1947,2026-01-26,8,0,0.1087,high,0.0695,1.56,BROADWAY AVENUE,37.71053411552161,-121.08263691406898,3.0
1628,2026-01-26,15,1,0.1087,high,0.0769,1.41,STOCKTON BLVD,38.47866801473501,-121.42478568969965,3.0
1713,2026-01-26,15,0,0.1087,high,0.0763,1.42,MADISON AVE,38.658835136419526,-121.35546910234002,3.0
1292,2026-01-26,18,1,0.1086,high,0.0691,1.57,NORTH TEXAS STREET,38.27574714775683,-122.03122167389688,3.0
278,2026-01-26,17,1,0.1083,high,0.0825,1.31,SR-92 E/B,37.63331540818688,-122.10809387569785,3.0
90,2026-01-26,8,1,0.1081,high,0.0656,1.65,I-80 E/B,37.96998341425101,-122.31727370655122,3.0
53,2026-01-26,18,0,0.1081,high,0.0674,1.6,I-80 W/B,37.82797214346718,-122.3125239142691,3.0
158,2026-01-26,17,0,0.108,high,0.0705,1.53,SR-4 W/B,38.01910929106772,-121.93574002983114,3.0
1713,2026-01-26,16,0,0.1071,high,0.0763,1.4,MADISON AVE,38.658835136419526,-121.35546910234002,3.0
1719,2026-01-26,16,1,0.1071,high,0.0774,1.38,WATT AVE,38.63782358364213,-121.38293111041172,3.0
165,2026-01-26,18,0,0.1068,high,0.0649,1.64,I-680 N/B,37.89912808188281,-122.06666263003504,3.0
2081,2026-01-26,5,0,0.1067,high,0.0812,1.31,I-580 WESTBOUND,37.7448028938984,-121.57886905410484,3.0
158,2026-01-26,6,0,0.1067,high,0.0705,1.51,SR-4 W/B,38.01910929106772,-121.93574002983114,3.0
1626,2026-01-26,17,0,0.1062,high,0.0795,1.34,ELK GROVE BLVD,38.410632080847,-121.39292819045076,3.0
1312,2026-01-26,18,0,0.1062,high,0.0585,1.81,I-80 W/B,38.35196410820311,-121.99300081114636,3.0
1314,2026-01-26,18,0,0.1062,high,0.0601,1.77,PEABODY RD,38.33445699150254,-121.97078365976272,3.0
1359,2026-01-26,18,0,0.1062,high,0.0592,1.79,SR-12,38.30877478754679,-122.47835947240426,3.0
1626,2026-01-26,18,0,0.1062,high,0.0586,1.81,ELK GROVE BLVD,38.410632080847,-121.39292819045076,3.0
1727,2026-01-26,18,0,0.1062,high,0.0576,1.84,WATT AVE,38.70450534195074,-121.38627150100118,3.0
1967,2026-01-26,18,0,0.1062,high,0.0588,1.81,MARCH LN,37.99226667106334,-121.31195084529676,3.0
1983,2026-01-26,18,0,0.1062,high,0.0599,1.77,HAMMER LN,38.02154656872572,-121.28148960025484,3.0
1309,2026-01-26,15,0,0.1059,high,0.0814,1.3,MONTE VISTA AV,38.36016689633009,-121.98991581235327,3.0
209,2026-01-26,18,0,0.1058,high,0.0644,1.64,SR-51 S/B,38.5934537314883,-121.44837188633296,3.0
1326,2026-01-26,17,0,0.1057,high,0.0845,1.25,I-80 E/B,38.25221398741645,-122.06880615578524,3.0
1717,2026-01-26,17,0,0.1057,high,0.0853,1.24,MARCONI AVE,38.62022957480677,-121.36067371263444,3.0
1713,2026-01-26,17,0,0.1055,high,0.1316,0.8,MADISON AVE,38.658835136419526,-121.35546910234002,3.0
1308,2026-01-26,18,0,0.1055,high,0.0613,1.72,I-80 W/B,38.34376084494284,-121.99608525934958,3.0
1505,2026-01-26,18,0,0.1055,high,0.0605,1.74,GALINDO ST,37.973167545377706,-122.03906462321537,3.0
1642,2026-01-26,18,0,0.1055,high,0.0611,1.73,POWER INN RD,38.48918572844404,-121.41108557583377,3.0
1713,2026-01-26,18,0,0.1055,high,0.0605,1.74,MADISON AVE,38.658835136419526,-121.35546910234002,3.0
1866,2026-01-26,18,0,0.1055,high,0.061,1.73,GROVE WAY,37.68513368021296,-122.07935582488231,3.0
1332,2026-01-26,15,1,0.1054,medium,0.075,1.4,TRANCAS ST,38.31916573225925,-122.3024045762338,3.0
1634,2026-01-26,15,0,0.1054,medium,0.0735,1.43,FLORIN RD,38.49382945803563,-121.3899716634811,3.0
1831,2026-01-26,15,0,0.1054,medium,0.0746,1.41,OLIVE HWY,39.50604335663921,-121.54187089443096,3.0
1863,2026-01-26,15,0,0.1054,medium,0.0745,1.42,REDWOOD RD,37.69337387305138,-122.07629910711051,3.0
1717,2026-01-26,18,0,0.1047,medium,0.0625,1.67,MARCONI AVE,38.62022957480677,-121.36067371263444,3.0
53,2026-01-26,7,0,0.1045,medium,0.1213,0.86,I-80 W/B,37.82797214346718,-122.3125239142691,3.0
1314,2026-01-26,8,0,0.1044,medium,0.0601,1.74,PEABODY RD,38.33445699150254,-121.97078365976272,3.0
1382,2026-01-26,8,0,0.1044,medium,0.0588,1.77,W COURT ST,38.68221159066719,-121.7910778773882,3.0
1493,2026-01-26,8,0,0.1044,medium,0.0577,1.81,SECOND ST,37.972385675835234,-122.53557881381452,3.0
1525,2026-01-26,8,0,0.1044,medium,0.0602,1.73,TREAT BLVD,37.923812022609134,-122.057468202199,3.0
1789,2026-01-26,8,0,0.1044,medium,0.0596,1.75,EL CAMINO AVE,38.60849515481175,-121.34583805162812,3.0
1896,2026-01-26,8,0,0.1044,medium,0.0603,1.73,SCENIC DR,37.65411008949513,-120.95979386391984,3.0
1925,2026-01-26,8,0,0.1044,medium,0.0586,1.78,HATCH ROAD,37.61290096500903,-120.97561177624934,3.0
1309,2026-01-26,8,0,0.104,medium,0.064,1.63,MONTE VISTA AV,38.36016689633009,-121.98991581235327,3.0
1365,2026-01-26,8,0,0.104,medium,0.064,1.63,WEST A ST,38.44244199087226,-121.8242946374608,3.0
1667,2026-01-26,8,1,0.104,medium,0.0608,1.71,I-80 E/B,38.61927018809446,-121.53512980361144,3.0
1822,2026-01-26,8,0,0.104,medium,0.0622,1.67,US-50 E/B,38.58964438963721,-121.2950232137617,3.0
1831,2026-01-26,8,0,0.104,medium,0.0621,1.67,OLIVE HWY,39.50604335663921,-121.54187089443096,3.0
1301,2026-01-26,17,1,0.104,medium,0.0698,1.49,EAST TRAVIS BOULEVARD,38.25586382462951,-122.0194994033488,3.0
1397,2026-01-26,17,0,0.104,medium,0.0674,1.54,ASHBY AV,37.85636201795318,-122.25437301730128,3.0
1493,2026-01-26,17,0,0.104,medium,0.0692,1.5,SECOND ST,37.972385675835234,-122.53557881381452,3.0
1511,2026-01-26,17,0,0.104,medium,0.0657,1.58,MONUMENT BLVD,37.95908482478172,-122.03475420848108,3.0
