hotspot_id,slot_date,slot_hour,crash_occurred,risk_score,risk_tier,baseline_rate,relative_risk,primary_road,center_lat,center_lng,district_id
1775,2026-01-30,17,0,0.3802,critical,0.099,3.84,ELKHORN BLVD,38.695108515291736,-121.36084227081284,3.0
1518,2026-01-30,17,0,0.2494,critical,0.1085,2.3,I-680 N/B,37.98251057853568,-122.06427332319596,3.0
2022,2026-01-30,17,0,0.239,critical,0.1013,2.36,AIRPORT WY,37.95445832014117,-121.27823680493827,3.0
1559,2026-01-30,16,1,0.2224,critical,0.1012,2.2,LINCOLN WAY,38.92575797143526,-121.05763697779996,3.0
192,2026-01-30,17,0,0.173,critical,0.1095,1.58,SR-65 N/B,38.79203186041489,-121.2942897465517,3.0
66,2026-01-30,18,0,0.1625,critical,0.079,2.06,I-80 E/B,37.77830367467608,-122.3974790818798,3.0
1518,2026-01-30,18,1,0.147,critical,0.0814,1.81,I-680 N/B,37.98251057853568,-122.06427332319596,3.0
179,2026-01-30,18,0,0.1463,critical,0.0802,1.82,I-580 E/B,37.7027859090899,-121.76707148446654,3.0
155,2026-01-30,17,0,0.1445,critical,0.0977,1.48,SR-242 N/B,38.00369474412134,-122.03723721592075,3.0
57,2026-01-30,17,0,0.1416,critical,0.0922,1.54,I-80 W/B,37.83274535811673,-122.29170201637908,3.0
328,2026-01-30,16,0,0.1402,critical,0.0902,1.55,I-5 N/B,37.78262870364418,-121.3052859563872,3.0
1664,2026-01-30,15,0,0.1383,critical,0.1096,1.26,HOWE AVE,38.5863793026831,-121.41240874121512,3.0
179,2026-01-30,17,0,0.1383,critical,0.0896,1.54,I-580 E/B,37.7027859090899,-121.76707148446654,3.0
31,2026-01-30,16,0,0.1366,critical,0.0791,1.73,US-101 N/B,38.419100234869646,-122.71450905580886,3.0
292,2026-01-30,18,0,0.1364,critical,0.0774,1.76,I-580 WESTBOUND,37.700532297955824,-121.91133488044268,3.0
237,2026-01-30,18,0,0.1358,critical,0.0811,1.67,I-80 W/B,38.65651459028767,-121.36604653430216,3.0
178,2026-01-30,17,0,0.1349,critical,0.0868,1.55,I-580 EASTBOUND,37.7004438870495,-121.7775163481752,3.0
57,2026-01-30,15,0,0.1338,critical,0.0922,1.45,I-80 W/B,37.83274535811673,-122.29170201637908,3.0
1370,2026-01-30,18,1,0.1303,critical,0.0782,1.67,NUT TREE RD,38.35323017747061,-121.9541156010311,3.0
18,2026-01-30,15,0,0.1295,critical,0.0958,1.35,I-80 E/B,38.35433253730397,-121.9825090408532,3.0
101,2026-01-30,15,0,0.1295,critical,0.0948,1.37,I-80 E/B,37.880813915004,-122.31207971246998,3.0
120,2026-01-30,8,0,0.1293,critical,0.0929,1.39,I-280 S/B,37.652330899031966,-122.45321572760572,3.0
31,2026-01-30,15,0,0.1277,critical,0.1117,1.14,US-101 N/B,38.419100234869646,-122.71450905580886,3.0
1752,2026-01-30,18,0,0.1277,critical,0.0776,1.65,GREENBACK LN,38.67736877994984,-121.27080860787262,3.0
2046,2026-01-30,18,0,0.1277,critical,0.0769,1.66,CAROLYN WESTON BL,37.91332895419639,-121.2939450108224,3.0
66,2026-01-30,15,0,0.1274,high,0.0877,1.45,I-80 E/B,37.77830367467608,-122.3974790818798,3.0
292,2026-01-30,16,0,0.1271,high,0.0893,1.42,I-580 WESTBOUND,37.700532297955824,-121.91133488044268,3.0
1480,2026-01-30,17,0,0.1251,high,0.0793,1.58,FOOTHILL BL,37.68276670331324,-122.089771517081,3.0
204,2026-01-30,17,0,0.1248,high,0.0766,1.63,I-80 W/B,38.57365783536463,-121.57191652821238,3.0
155,2026-01-30,18,0,0.1236,high,0.0837,1.48,SR-242 N/B,38.00369474412134,-122.03723721592075,3.0
204,2026-01-30,8,0,0.1235,high,0.1049,1.18,I-80 W/B,38.57365783536463,-121.57191652821238,3.0
237,2026-01-30,6,0,0.1233,high,0.0879,1.4,I-80 W/B,38.65651459028767,-121.36604653430216,3.0
1664,2026-01-30,17,0,0.1228,high,0.0884,1.39,HOWE AVE,38.5863793026831,-121.41240874121512,3.0
175,2026-01-30,17,1,0.1226,high,0.0635,1.93,I-580 WESTBOUND,37.69930750671577,-121.81620192098438,3.0
