hotspot_id,slot_date,slot_hour,crash_occurred,risk_score,risk_tier,baseline_rate,relative_risk,primary_road,center_lat,center_lng,district_id
1539,2026-01-03,17,0,0.1772,critical,0.0935,1.9,WILLOW PASS ROAD,38.024971049351535,-121.94312232265187,3.0
223,2026-01-03,17,0,0.133,critical,0.1255,1.06,I-5 N/B,38.62393761958439,-121.51401045422962,3.0
201,2026-01-03,18,0,0.1283,critical,0.0913,1.41,I-5 S/B,38.57947612103728,-121.51173123242788,3.0
18,2026-01-03,15,1,0.1268,critical,0.0958,1.32,I-80 E/B,38.35433253730397,-121.9825090408532,3.0
1767,2026-01-03,18,0,0.1248,critical,0.0962,1.3,ANTELOPE RD,38.70561048449183,-121.34710150390592,3.0
176,2026-01-03,16,0,0.1174,critical,0.0804,1.46,I-580 WESTBOUND,37.7028851441023,-121.9009016904396,3.0
291,2026-01-03,18,0,0.1173,critical,0.0736,1.59,I-580 E/B,37.69817864270866,-121.9217669202609,3.0
1326,2026-01-03,18,0,0.1147,critical,0.088,1.3,I-80 E/B,38.25221398741645,-122.06880615578524,3.0
29,2026-01-03,13,0,0.111,critical,0.0746,1.49,US-101 S/B,38.44703482803191,-122.72331653777486,3.0
176,2026-01-03,18,0,0.1104,critical,0.0965,1.14,I-580 WESTBOUND,37.7028851441023,-121.9009016904396,3.0
135,2026-01-03,16,0,0.1085,critical,0.1077,1.01,I-580 E/B,37.79655615422938,-122.21928024316566,3.0
47,2026-01-03,18,0,0.1071,critical,0.0743,1.44,I-580 W/B,37.80588259160722,-122.24443355827768,3.0
242,2026-01-03,18,0,0.1059,critical,0.1028,1.03,SR-51 S/B,38.63550100267892,-121.3935040335774,3.0
1504,2026-01-03,18,0,0.1058,critical,0.0733,1.44,SR-242 N/B,37.987248148784566,-122.0433760919151,3.0
56,2026-01-03,17,0,0.1041,critical,0.0951,1.09,I-80 W/B,37.84682300250585,-122.296034981633,3.0
199,2026-01-03,18,0,0.1041,critical,0.0716,1.45,US-50 E/B,38.56190077231732,-121.48948152697854,3.0
31,2026-01-03,16,0,0.104,critical,0.0791,1.32,US-101 N/B,38.419100234869646,-122.71450905580886,3.0
210,2026-01-03,13,0,0.1035,critical,0.078,1.33,SR-51 S/B,38.60164158258366,-121.44522582899845,3.0
222,2026-01-03,18,1,0.1031,critical,0.0693,1.49,I-5 S/B,38.60989653207884,-121.50973064542778,3.0
160,2026-01-03,18,0,0.1023,critical,0.1016,1.01,SR-4 E/B,38.0084285218505,-122.01633092758996,3.0
80,2026-01-03,18,1,0.102,critical,0.0702,1.45,I-580 W/B,37.793079199445216,-122.20149580190756,3.0
1382,2026-01-03,17,0,0.1018,critical,0.0915,1.11,W COURT ST,38.68221159066719,-121.7910778773882,3.0
1706,2026-01-03,18,0,0.1016,critical,0.0717,1.42,MADISON AVE,38.6576079336384,-121.32688994760132,3.0
110,2026-01-03,18,0,0.1014,critical,0.0679,1.49,US-101 S/B,37.63372458606421,-122.40301381701649,3.0
1805,2026-01-03,18,0,0.1013,high,0.0706,1.43,EL CAMINO AVE,38.60861845318951,-121.41352735761636,3.0
1539,2026-01-03,18,0,0.1006,high,0.0701,1.43,WILLOW PASS ROAD,38.024971049351535,-121.94312232265187,3.0
1949,2026-01-03,18,0,0.1006,high,0.0683,1.47,HAMMER LN,38.02053627932442,-121.3204167048668,3.0
2029,2026-01-03,18,0,0.1006,high,0.0675,1.49,OAK ST,37.960377414045375,-121.28560669951206,3.0
1439,2026-01-03,18,0,0.1,high,0.0677,1.48,US-101 N/B,37.57168473859509,-122.31170815205014,3.0
1758,2026-01-03,18,0,0.1,high,0.0679,1.47,ANTELOPE RD,38.70206765025358,-121.3290932810072,3.0
201,2026-01-03,14,0,0.0997,high,0.0989,1.01,I-5 S/B,38.57947612103728,-121.51173123242788,3.0
201,2026-01-03,13,0,0.0995,high,0.0913,1.09,I-5 S/B,38.57947612103728,-121.51173123242788,3.0
1681,2026-01-03,2,0,0.0991,high,0.0215,4.61,FLORIN RD,38.49627677322055,-121.44701494980336,3.0
1824,2026-01-03,18,0,0.0991,high,0.081,1.22,MATHER FIELD RD,38.579141334397626,-121.30875802503664,3.0
1319,2026-01-03,18,0,0.0985,high,0.0648,1.52,TRAVIS BOULEVARD,38.254587262747904,-122.05833124378174,3.0
57,2026-01-03,17,0,0.098,high,0.0922,1.06,I-80 W/B,37.83274535811673,-122.29170201637908,3.0
1873,2026-01-03,18,0,0.098,high,0.071,1.38,CLARIBEL RD,37.707233609669984,-120.95865651235036,3.0
160,2026-01-03,17,0,0.0978,high,0.0894,1.09,SR-4 E/B,38.0084285218505,-122.01633092758996,3.0
113,2026-01-03,16,0,0.0966,high,0.0905,1.07,I-280 N/B,37.72169860684527,-122.44680264771878,3.0
1525,2026-01-03,18,0,0.0965,high,0.0572,1.69,TREAT BLVD,37.923812022609134,-122.057468202199,3.0
56,2026-01-03,18,0,0.0961,high,0.0591,1.63,I-80 W/B,37.84682300250585,-122.296034981633,3.0
117,2026-01-03,18,0,0.0957,high,0.0603,1.59,I-280 S/B,37.732332627995326,-122.43339236470476,3.0
88,2026-01-03,18,0,0.0954,high,0.0577,1.65,I-80 E/B,37.93124454917184,-122.32205492724984,3.0
178,2026-01-03,17,0,0.0952,high,0.0868,1.1,I-580 EASTBOUND,37.7004438870495,-121.7775163481752,3.0
14,2026-01-03,18,0,0.0951,high,0.0579,1.64,I-80 W/B,38.11689584255466,-122.2341601925004,3.0
18,2026-01-03,18,0,0.0951,high,0.0575,1.65,I-80 E/B,38.35433253730397,-121.9825090408532,3.0
1810,2026-01-03,18,0,0.0948,high,0.0588,1.61,FULTON AVE,38.61094237808409,-121.40295891313102,3.0
1955,2026-01-03,18,1,0.0948,high,0.0599,1.58,THORNTON RD,38.03235755974489,-121.3351674945224,3.0
1983,2026-01-03,18,0,0.0948,high,0.0599,1.58,HAMMER LN,38.02154656872572,-121.28148960025484,3.0
1586,2026-01-03,17,0,0.0946,high,0.0926,1.02,HAZEL AVE,38.68074247899085,-121.22102994311048,3.0
1630,2026-01-03,18,0,0.0946,high,0.058,1.63,GERBER RD,38.48099130992124,-121.41423155309224,3.0
1679,2026-01-03,18,0,0.0942,high,0.0593,1.59,47TH AVE,38.51033759653699,-121.45128306778578,3.0
1683,2026-01-03,18,0,0.0942,high,0.0585,1.61,FLORIN RD,38.49860212283528,-121.436460910457,3.0
135,2026-01-03,18,0,0.0939,high,0.0616,1.53,I-580 E/B,37.79655615422938,-122.21928024316566,3.0
188,2026-01-03,18,0,0.0939,high,0.0631,1.49,I-80 E/B,38.75454521424684,-121.26031631649394,3.0
33,2026-01-03,18,0,0.0937,high,0.0592,1.58,I-80 E/B,38.53615719930744,-121.74057941848412,3.0
1480,2026-01-03,17,0,0.0934,high,0.0793,1.18,FOOTHILL BL,37.68276670331324,-122.089771517081,3.0
2023,2026-01-03,18,0,0.0934,high,0.0604,1.55,HARDING WY,37.96629550922697,-121.2929771109072,3.0
2044,2026-01-03,18,0,0.0934,high,0.0623,1.5,EIGHTH ST,37.92747613112028,-121.29817220947938,3.0
1873,2026-01-03,19,0,0.0934,high,0.0645,1.45,CLARIBEL RD,37.707233609669984,-120.95865651235036,3.0
1683,2026-01-03,16,0,0.0931,high,0.0819,1.14,FLORIN RD,38.49860212283528,-121.436460910457,3.0
57,2026-01-03,18,0,0.093,high,0.0615,1.51,I-80 W/B,37.83274535811673,-122.29170201637908,3.0
72,2026-01-03,18,1,0.093,high,0.0639,1.45,US-101 S/B,37.834269289203455,-122.48159215591532,3.0
99,2026-01-03,18,0,0.0928,high,0.0546,1.7,I-80 W/B,37.88904328171417,-122.30904020512288,3.0
1625,2026-01-03,18,0,0.0928,high,0.0617,1.5,LAGUNA BLVD,38.42470823614056,-121.3971867521651,3.0
1469,2026-01-03,17,0,0.0927,high,0.0803,1.15,FAIRMONT DRIVE,37.70625136735119,-122.11921445202375,3.0
57,2026-01-03,15,0,0.0925,high,0.0922,1.0,I-80 W/B,37.83274535811673,-122.29170201637908,3.0
29,2026-01-03,17,0,0.0919,high,0.0796,1.15,US-101 S/B,38.44703482803191,-122.72331653777486,3.0
46,2026-01-03,18,0,0.0918,high,0.0623,1.47,I-880 N/B,37.792883533234885,-122.26829980285298,3.0
79,2026-01-03,18,0,0.0915,high,0.0556,1.65,SR-24 E/B TO I-680 N/B,37.89675905875716,-122.07710089564792,3.0
135,2026-01-03,17,0,0.0914,high,0.0769,1.19,I-580 E/B,37.79655615422938,-122.21928024316566,3.0
247,2026-01-03,17,0,0.0914,high,0.0753,1.21,US-101 N/B,37.522371304520334,-122.26327577799192,3.0
176,2026-01-03,17,0,0.0909,high,0.0965,0.94,I-580 WESTBOUND,37.7028851441023,-121.9009016904396,3.0
188,2026-01-03,17,0,0.0909,high,0.0971,0.94,I-80 E/B,38.75454521424684,-121.26031631649394,3.0
1704,2026-01-03,18,0,0.0909,high,0.0544,1.67,WATT AVE,38.64600863588375,-121.37977724844156,3.0
12,2026-01-03,18,0,0.0903,high,0.052,1.74,I-80 E/B,38.21332615994479,-122.14083139649814,3.0
1930,2026-01-03,18,0,0.0902,high,0.0559,1.61,MILLER AVE,37.63762782976086,-120.9661226979468,3.0
