hotspot_id,slot_date,slot_hour,crash_occurred,risk_score,risk_tier,baseline_rate,relative_risk,primary_road,center_lat,center_lng,district_id
2022,2026-01-07,17,0,0.293,critical,0.1013,2.89,AIRPORT WY,37.95445832014117,-121.27823680493827,3.0
1518,2026-01-07,17,0,0.2508,critical,0.1085,2.31,I-680 N/B,37.98251057853568,-122.06427332319596,3.0
201,2026-01-07,14,0,0.2296,critical,0.0989,2.32,I-5 S/B,38.57947612103728,-121.51173123242788,3.0
52,2026-01-07,6,0,0.2031,critical,0.1057,1.92,I-80 W/B,37.82558433389739,-122.32293310226402,3.0
187,2026-01-07,17,1,0.193,critical,0.1151,1.68,I-80 E/B,38.77090014189059,-121.25397669459534,3.0
153,2026-01-07,17,1,0.1763,critical,0.1555,1.13,I-680 N/B,37.98836450210425,-122.07165432898492,3.0
11,2026-01-07,15,1,0.1564,critical,0.0969,1.61,I-80 E/B,38.22153694579977,-122.1377651520369,3.0
201,2026-01-07,18,0,0.1552,critical,0.0913,1.7,I-5 S/B,38.57947612103728,-121.51173123242788,3.0
1936,2026-01-07,17,0,0.1527,critical,0.0962,1.59,BRIGGSMORE AVE,37.66884627725245,-121.03120140012572,3.0
40,2026-01-07,6,0,0.1523,critical,0.0912,1.67,I-80 E/B,37.82451288147054,-122.29474158800733,3.0
1645,2026-01-07,17,0,0.1509,critical,0.0814,1.85,POWER INN RD,38.461050138174286,-121.4025610851491,3.0
327,2026-01-07,18,1,0.1497,critical,0.0954,1.57,I-5 N/B,37.78032318564095,-121.31577844539156,3.0
238,2026-01-07,8,0,0.1485,critical,0.0942,1.58,I-80 W/B,38.64833020006815,-121.369202070699,3.0
1518,2026-01-07,18,0,0.1429,critical,0.0814,1.76,I-680 N/B,37.98251057853568,-122.06427332319596,3.0
1326,2026-01-07,18,0,0.1405,critical,0.088,1.6,I-80 E/B,38.25221398741645,-122.06880615578524,3.0
179,2026-01-07,18,0,0.1395,critical,0.0802,1.74,I-580 E/B,37.7027859090899,-121.76707148446654,3.0
327,2026-01-07,17,0,0.1394,critical,0.0916,1.52,I-5 N/B,37.78032318564095,-121.31577844539156,3.0
62,2026-01-07,17,0,0.1378,critical,0.0894,1.54,I-80 E/B,37.77590978451556,-122.40787564835524,3.0
179,2026-01-07,17,1,0.1378,critical,0.0896,1.54,I-580 E/B,37.7027859090899,-121.76707148446654,3.0
1530,2026-01-07,17,0,0.1378,critical,0.0791,1.74,MARKET ST,37.97079971313651,-122.04951278375846,3.0
156,2026-01-07,16,0,0.1368,critical,0.1048,1.31,SR-4 E/B,38.006062040347786,-122.02678465331088,3.0
56,2026-01-07,17,0,0.1366,critical,0.0951,1.44,I-80 W/B,37.84682300250585,-122.296034981633,3.0
56,2026-01-07,16,0,0.136,critical,0.1131,1.2,I-80 W/B,37.84682300250585,-122.296034981633,3.0
1461,2026-01-07,18,0,0.1344,critical,0.0793,1.69,I-880 S/B,37.675660952925085,-122.12101163641452,3.0
144,2026-01-07,8,0,0.1331,critical,0.0769,1.73,I-880 S/B,37.669789321715626,-122.11365231640642,3.0
314,2026-01-07,17,0,0.1327,critical,0.0881,1.51,SR-4 E/B,37.96136987698192,-121.24669376170104,3.0
62,2026-01-07,18,0,0.1306,high,0.0754,1.73,I-80 E/B,37.77590978451556,-122.40787564835524,3.0
111,2026-01-07,18,0,0.1306,high,0.0766,1.71,US-101 S/B,37.60792229262618,-122.38396291621471,3.0
141,2026-01-07,8,0,0.1298,high,0.0849,1.53,I-880 S/B,37.69326985248514,-122.14309251068474,3.0
1863,2026-01-07,17,0,0.1298,high,0.0931,1.39,REDWOOD RD,37.69337387305138,-122.07629910711051,3.0
156,2026-01-07,18,1,0.1294,high,0.081,1.6,SR-4 E/B,38.006062040347786,-122.02678465331088,3.0
101,2026-01-07,15,0,0.129,high,0.0948,1.36,I-80 E/B,37.880813915004,-122.31207971246998,3.0
1345,2026-01-07,8,0,0.1273,high,0.0813,1.57,FERRY ST,38.01871656265641,-122.13684230597327,3.0
1620,2026-01-07,16,0,0.1273,high,0.0788,1.61,SHELDON RD,38.43878223813384,-121.4014463689413,3.0
187,2026-01-07,14,0,0.1262,high,0.0974,1.3,I-80 E/B,38.77090014189059,-121.25397669459534,3.0
1501,2026-01-07,8,0,0.1258,high,0.0779,1.61,CLAYTON RD,37.9720417885102,-122.01078509316422,3.0
127,2026-01-07,17,0,0.1243,high,0.0779,1.6,I-880 N/B,37.728460659229086,-122.18726735578286,3.0
1934,2026-01-07,18,0,0.124,high,0.0769,1.61,COUNTRYSIDE DR,37.52101776840511,-120.8760531457061,3.0
1627,2026-01-07,17,0,0.1236,high,0.0874,1.41,ELSIE AVE,38.47279640205255,-121.417376970641,3.0
1704,2026-01-07,8,0,0.1228,high,0.086,1.43,WATT AVE,38.64600863588375,-121.37977724844156,3.0
1469,2026-01-07,17,0,0.1226,high,0.0803,1.53,FAIRMONT DRIVE,37.70625136735119,-122.11921445202375,3.0
156,2026-01-07,17,0,0.1217,high,0.081,1.5,SR-4 E/B,38.006062040347786,-122.02678465331088,3.0
207,2026-01-07,17,0,0.1217,high,0.0807,1.51,SR-51 N/B,38.58293774150992,-121.462079028152,3.0
1805,2026-01-07,8,0,0.1206,high,0.0745,1.62,EL CAMINO AVE,38.60861845318951,-121.41352735761636,3.0
1915,2026-01-07,15,0,0.1201,high,0.079,1.52,RIVER ROAD,37.62483314816097,-120.9902955941118,3.0
261,2026-01-07,17,0,0.1196,high,0.0747,1.6,I-880 S/B,37.54624756625682,-122.02596786003176,3.0
117,2026-01-07,15,0,0.1191,high,0.0804,1.48,I-280 S/B,37.732332627995326,-122.43339236470476,3.0
185,2026-01-07,15,0,0.1188,high,0.0798,1.49,I-680 N/B,37.847487599421,-122.02855585599958,3.0
1674,2026-01-07,18,0,0.1188,high,0.075,1.58,FRUITRIDGE RD,38.52439625743812,-121.45555224330631,3.0
1743,2026-01-07,18,0,0.1188,high,0.0736,1.61,MADISON AVE,38.66224168146352,-121.30572704628986,3.0
1783,2026-01-07,18,0,0.1188,high,0.0745,1.6,FULTON AVE,38.59689089142744,-121.39869199540628,3.0
187,2026-01-07,18,0,0.1178,high,0.0841,1.4,I-80 E/B,38.77090014189059,-121.25397669459534,3.0
62,2026-01-07,15,1,0.1166,high,0.0754,1.55,I-80 E/B,37.77590978451556,-122.40787564835524,3.0
201,2026-01-07,15,1,0.1166,high,0.0761,1.53,I-5 S/B,38.57947612103728,-121.51173123242788,3.0
261,2026-01-07,16,0,0.1164,high,0.0805,1.45,I-880 S/B,37.54624756625682,-122.02596786003176,3.0
1804,2026-01-07,8,0,0.1163,high,0.0729,1.59,I-80 E/B,38.64136295309654,-121.40092417653818,3.0
1461,2026-01-07,17,0,0.1162,high,0.0767,1.51,I-880 S/B,37.675660952925085,-122.12101163641452,3.0
2024,2026-01-07,17,0,0.1162,high,0.0762,1.52,PACIFIC AV,37.97221260546517,-121.30034803893412,3.0
