hotspot_id,slot_date,slot_hour,crash_occurred,risk_score,risk_tier,baseline_rate,relative_risk,primary_road,center_lat,center_lng,district_id
2053,2026-01-25,21,0,0.1209,critical,0.0165,7.31,CENTER ST,37.95215279904014,-121.28874891034202,3.0
1360,2026-01-25,0,0,0.1196,critical,0.0707,1.69,SR-12,38.314572038987016,-122.48576763889116,3.0
1978,2026-01-25,0,0,0.1173,critical,0.071,1.65,SR-99 S/B,38.03437770441375,-121.25730177682772,3.0
1681,2026-01-25,2,0,0.1152,critical,0.0215,5.36,FLORIN RD,38.49627677322055,-121.44701494980336,3.0
1283,2026-01-25,18,0,0.1096,critical,0.0786,1.4,I-80 E/B,38.12511208212932,-122.23110603674176,3.0
119,2026-01-25,18,0,0.1093,critical,0.0896,1.22,I-280 N/B,37.700426149543055,-122.47361148969712,3.0
62,2026-01-25,18,1,0.1041,critical,0.0754,1.38,I-80 E/B,37.77590978451556,-122.40787564835524,3.0
59,2026-01-25,17,0,0.1028,critical,0.0791,1.3,US-101 N/B,37.72543382956027,-122.39787920606844,3.0
1367,2026-01-25,18,0,0.1017,critical,0.0757,1.34,NUT TREE RD,38.36726927386784,-121.95843367133442,3.0
125,2026-01-25,18,0,0.0995,critical,0.0813,1.22,I-880 S/B,37.722598025475406,-122.17990367025688,3.0
2008,2026-01-25,18,0,0.0994,critical,0.0769,1.29,FILBERT ST,37.973211151608254,-121.26143421125832,3.0
1548,2026-01-25,18,0,0.0988,critical,0.0753,1.31,FIRST ST,37.7015678858547,-121.7388206891773,3.0
210,2026-01-25,13,0,0.098,critical,0.078,1.26,SR-51 S/B,38.60164158258366,-121.44522582899845,3.0
62,2026-01-25,17,0,0.0978,critical,0.0894,1.09,I-80 E/B,37.77590978451556,-122.40787564835524,3.0
295,2026-01-25,15,0,0.0975,critical,0.0721,1.35,I-880 S/B,37.64392601010386,-122.09463128045245,3.0
1653,2026-01-25,18,0,0.0973,high,0.0795,1.22,RIO LINDA BLVD,38.68822192844697,-121.460304014498,3.0
1672,2026-01-25,18,0,0.0962,high,0.0705,1.36,44TH ST,38.53258821223125,-121.45240900538036,3.0
1423,2026-01-25,18,0,0.0957,high,0.0686,1.4,I-80 E/B,37.92540692894739,-122.31467561460066,3.0
1863,2026-01-25,17,0,0.0949,high,0.0931,1.02,REDWOOD RD,37.69337387305138,-122.07629910711051,3.0
1374,2026-01-25,18,0,0.0946,high,0.0683,1.38,BRUCEVILLE RD,38.42826299812683,-121.41514155247604,3.0
1830,2026-01-25,18,0,0.0945,high,0.0649,1.46,OROVILLE DAM BL EAST,39.50369768421853,-121.55252059095388,3.0
