hotspot_id,slot_date,slot_hour,crash_occurred,risk_score,risk_tier,baseline_rate,relative_risk,primary_road,center_lat,center_lng,district_id
1343,2026-01-19,0,0,0.1949,critical,0.0909,2.14,VAQUEROS AVENUE,38.03470808994946,-122.2646718068752,3.0
153,2026-01-19,17,0,0.1737,critical,0.1555,1.12,I-680 N/B,37.98836450210425,-122.07165432898492,3.0
223,2026-01-19,17,0,0.1707,critical,0.1255,1.36,I-5 N/B,38.62393761958439,-121.51401045422962,3.0
1769,2026-01-19,15,0,0.1525,critical,0.1059,1.44,ANTELOPE RD,38.70670280096459,-121.30792158334216,3.0
198,2026-01-19,17,0,0.1434,critical,0.0933,1.54,US-50 W/B,38.565429043820295,-121.50745352862197,3.0
327,2026-01-19,17,0,0.1348,critical,0.0916,1.47,I-5 N/B,37.78032318564095,-121.31577844539156,3.0
198,2026-01-19,16,0,0.1334,critical,0.0933,1.43,US-50 W/B,38.565429043820295,-121.50745352862197,3.0
119,2026-01-19,18,1,0.1285,critical,0.0896,1.43,I-280 N/B,37.700426149543055,-122.47361148969712,3.0
327,2026-01-19,18,0,0.1277,critical,0.0954,1.34,I-5 N/B,37.78032318564095,-121.31577844539156,3.0
103,2026-01-19,17,0,0.1228,critical,0.099,1.24,US-101 N/B,37.58340849347539,-122.32641710045758,3.0
1863,2026-01-19,17,0,0.1201,critical,0.0931,1.29,REDWOOD RD,37.69337387305138,-122.07629910711051,3.0
292,2026-01-19,18,0,0.1184,critical,0.0774,1.53,I-580 WESTBOUND,37.700532297955824,-121.91133488044268,3.0
179,2026-01-19,18,0,0.1169,critical,0.0802,1.46,I-580 E/B,37.7027859090899,-121.76707148446654,3.0
1461,2026-01-19,18,1,0.1159,critical,0.0793,1.46,I-880 S/B,37.675660952925085,-122.12101163641452,3.0
76,2026-01-19,18,1,0.1157,critical,0.0807,1.43,I-680 N/B,37.91321573892839,-122.07097401981076,3.0
1769,2026-01-19,18,0,0.115,critical,0.0784,1.47,ANTELOPE RD,38.70670280096459,-121.30792158334216,3.0
101,2026-01-19,15,0,0.1139,critical,0.0948,1.2,I-80 E/B,37.880813915004,-122.31207971246998,3.0
53,2026-01-19,6,0,0.1138,critical,0.151,0.75,I-80 W/B,37.82797214346718,-122.3125239142691,3.0
57,2026-01-19,17,0,0.1136,high,0.0922,1.23,I-80 W/B,37.83274535811673,-122.29170201637908,3.0
196,2026-01-19,17,1,0.1135,high,0.0918,1.24,US-50 E/B,38.56776023791977,-121.49689757980995,3.0
68,2026-01-19,18,0,0.1133,high,0.0766,1.48,US-101 N/B,37.74535954146505,-122.40958599315546,3.0
218,2026-01-19,18,0,0.1133,high,0.0749,1.51,SR-51 N/B,38.566559251353496,-121.46836611855416,3.0
1599,2026-01-19,17,0,0.1126,high,0.0913,1.23,FEATHER RIVER BLVD,39.12462166302584,-121.58279805577548,3.0
1296,2026-01-19,17,1,0.1124,high,0.1036,1.08,NORTH TEXAS STREET,38.26753948441157,-122.03430006605797,3.0
121,2026-01-19,17,0,0.1118,high,0.0783,1.43,I-280 N/B,37.67226164519562,-122.46492068892886,3.0
76,2026-01-19,15,0,0.1103,high,0.0897,1.23,I-680 N/B,37.91321573892839,-122.07097401981076,3.0
101,2026-01-19,14,0,0.1092,high,0.092,1.19,I-80 E/B,37.880813915004,-122.31207971246998,3.0
57,2026-01-19,15,0,0.1073,high,0.0922,1.16,I-80 W/B,37.83274535811673,-122.29170201637908,3.0
2019,2026-01-19,15,0,0.1064,high,0.0906,1.17,SR-4 E/B,37.95906685946878,-121.25720923008905,3.0
53,2026-01-19,18,0,0.1062,high,0.0674,1.58,I-80 W/B,37.82797214346718,-122.3125239142691,3.0
1599,2026-01-19,18,0,0.1061,high,0.0747,1.42,FEATHER RIVER BLVD,39.12462166302584,-121.58279805577548,3.0
179,2026-01-19,17,0,0.1057,high,0.0896,1.18,I-580 E/B,37.7027859090899,-121.76707148446654,3.0
32,2026-01-19,17,0,0.1053,high,0.0974,1.08,US-101 S/B,38.43306861706008,-122.71891226121843,3.0
198,2026-01-19,18,0,0.1052,high,0.0707,1.49,US-50 W/B,38.565429043820295,-121.50745352862197,3.0
245,2026-01-19,18,0,0.1052,high,0.0689,1.53,SR-51 S/B,38.603968055077104,-121.43466081608314,3.0
2019,2026-01-19,18,0,0.1052,high,0.0797,1.32,SR-4 E/B,37.95906685946878,-121.25720923008905,3.0
1973,2026-01-19,18,0,0.1043,high,0.0714,1.46,HAMMER LN,38.01923992742678,-121.29200821879736,3.0
196,2026-01-19,16,0,0.1035,high,0.0721,1.43,US-50 E/B,38.56776023791977,-121.49689757980995,3.0
76,2026-01-19,17,0,0.1032,high,0.0987,1.05,I-680 N/B,37.91321573892839,-122.07097401981076,3.0
1862,2026-01-19,18,0,0.1032,high,0.0695,1.49,GROVE WAY,37.68749985322248,-122.06893897396444,3.0
189,2026-01-19,18,0,0.1031,high,0.0664,1.55,SR-99 S/B,38.45872805155568,-121.4131141761268,3.0
1937,2026-01-19,18,0,0.1026,high,0.0681,1.51,SISK RD,37.67480465065051,-121.03854776482488,3.0
1351,2026-01-19,18,0,0.1025,high,0.0663,1.55,SONOMA BL,38.11212373807347,-122.25504959209076,3.0
165,2026-01-19,18,0,0.1019,high,0.0649,1.57,I-680 N/B,37.89912808188281,-122.06666263003504,3.0
1650,2026-01-19,18,0,0.1019,high,0.0667,1.53,I-5 S/B,38.6742390140232,-121.5913764517287,3.0
103,2026-01-19,18,0,0.101,high,0.0649,1.56,US-101 N/B,37.58340849347539,-122.32641710045758,3.0
44,2026-01-19,18,0,0.1006,high,0.071,1.42,I-580 W/B,37.82689840979041,-122.28432997686583,3.0
