hotspot_id,slot_date,slot_hour,crash_occurred,risk_score,risk_tier,baseline_rate,relative_risk,primary_road,center_lat,center_lng,district_id
1641,2026-01-09,16,0,0.3538,critical,0.0991,3.57,FLORIN RD,38.49273286530126,-121.42905060732454,3.0
104,2026-01-09,15,0,0.3235,critical,0.0989,3.27,US-101 S/B,37.59035419830106,-122.36189351473872,3.0
223,2026-01-09,17,0,0.2465,critical,0.1255,1.96,I-5 N/B,38.62393761958439,-121.51401045422962,3.0
2022,2026-01-09,17,0,0.239,critical,0.1013,2.36,AIRPORT WY,37.95445832014117,-121.27823680493827,3.0
54,2026-01-09,18,0,0.1912,critical,0.0963,1.99,I-80 W/B,37.81973941984606,-122.31556129042843,3.0
1767,2026-01-09,18,0,0.1788,critical,0.0962,1.86,ANTELOPE RD,38.70561048449183,-121.34710150390592,3.0
219,2026-01-09,17,0,0.173,critical,0.1102,1.57,SR-99 N/B,38.55017879406972,-121.474650969244,3.0
160,2026-01-09,18,0,0.1632,critical,0.1016,1.61,SR-4 E/B,38.0084285218505,-122.01633092758996,3.0
66,2026-01-09,18,1,0.1625,critical,0.079,2.06,I-80 E/B,37.77830367467608,-122.3974790818798,3.0
11,2026-01-09,15,0,0.157,critical,0.0969,1.62,I-80 E/B,38.22153694579977,-122.1377651520369,3.0
230,2026-01-09,17,0,0.1476,critical,0.1043,1.41,SR-99 N/B,38.54198782866921,-121.47779255502356,3.0
1326,2026-01-09,18,0,0.1447,critical,0.088,1.64,I-80 E/B,38.25221398741645,-122.06880615578524,3.0
230,2026-01-09,16,0,0.1419,critical,0.0899,1.58,SR-99 N/B,38.54198782866921,-121.47779255502356,3.0
57,2026-01-09,17,0,0.1416,critical,0.0922,1.54,I-80 W/B,37.83274535811673,-122.29170201637908,3.0
328,2026-01-09,16,0,0.1402,critical,0.0902,1.55,I-5 N/B,37.78262870364418,-121.3052859563872,3.0
160,2026-01-09,17,0,0.1383,critical,0.0894,1.55,SR-4 E/B,38.0084285218505,-122.01633092758996,3.0
56,2026-01-09,17,1,0.1371,critical,0.0951,1.44,I-80 W/B,37.84682300250585,-122.296034981633,3.0
219,2026-01-09,14,0,0.1367,critical,0.0807,1.69,SR-99 N/B,38.55017879406972,-121.474650969244,3.0
31,2026-01-09,16,0,0.1366,critical,0.0791,1.73,US-101 N/B,38.419100234869646,-122.71450905580886,3.0
56,2026-01-09,16,0,0.1366,critical,0.1131,1.21,I-80 W/B,37.84682300250585,-122.296034981633,3.0
1317,2026-01-09,18,0,0.1365,critical,0.08,1.71,SUNSET AVE,38.24765502846046,-122.02257836064128,3.0
1445,2026-01-09,18,0,0.1365,critical,0.0802,1.7,I-280 S/B,37.686344944478,-122.46926556276983,3.0
277,2026-01-09,17,0,0.1356,critical,0.0886,1.53,I-880 N/B,37.57803678223522,-122.05231408584004,3.0
104,2026-01-09,17,1,0.1349,critical,0.0879,1.53,US-101 S/B,37.59035419830106,-122.36189351473872,3.0
57,2026-01-09,15,0,0.1338,critical,0.0922,1.45,I-80 W/B,37.83274535811673,-122.29170201637908,3.0
1683,2026-01-09,15,1,0.1336,critical,0.1111,1.2,FLORIN RD,38.49860212283528,-121.436460910457,3.0
314,2026-01-09,17,0,0.1332,critical,0.0881,1.51,SR-4 E/B,37.96136987698192,-121.24669376170104,3.0
229,2026-01-09,6,0,0.1317,critical,0.0791,1.67,SR-99 N/B,38.53612498646853,-121.4703786014146,3.0
1585,2026-01-09,15,0,0.1313,critical,0.0905,1.45,GREENBACK LN,38.67843287504049,-121.23162105641032,3.0
218,2026-01-09,18,0,0.1312,critical,0.0749,1.75,SR-51 N/B,38.566559251353496,-121.46836611855416,3.0
120,2026-01-09,8,1,0.1293,critical,0.0929,1.39,I-280 S/B,37.652330899031966,-122.45321572760572,3.0
1413,2026-01-09,18,0,0.1289,high,0.0805,1.6,SAN PABLO DAM RD,37.96175853295272,-122.32031477309944,3.0
31,2026-01-09,15,0,0.1277,high,0.1117,1.14,US-101 N/B,38.419100234869646,-122.71450905580886,3.0
1546,2026-01-09,18,0,0.1277,high,0.0776,1.64,FOURTH ST,37.68040732023388,-121.76588922356709,3.0
66,2026-01-09,15,0,0.1274,high,0.0877,1.45,I-80 E/B,37.77830367467608,-122.3974790818798,3.0
230,2026-01-09,15,0,0.1274,high,0.0863,1.48,SR-99 N/B,38.54198782866921,-121.47779255502356,3.0
17,2026-01-09,17,0,0.1273,high,0.0781,1.63,I-80 E/B,38.26279567666833,-122.05525561346208,3.0
2048,2026-01-09,17,0,0.1273,high,0.0791,1.61,MARTIN LUTHER KING BL,37.94031297752308,-121.27401072090302,3.0
104,2026-01-09,16,0,0.1255,high,0.0879,1.43,US-101 S/B,37.59035419830106,-122.36189351473872,3.0
247,2026-01-09,17,0,0.1237,high,0.0753,1.64,US-101 N/B,37.522371304520334,-122.26327577799192,3.0
324,2026-01-09,18,0,0.1231,high,0.0826,1.49,I-580 EASTBOUND,37.72025628764057,-121.65520208570058,3.0
1627,2026-01-09,17,1,0.1228,high,0.0874,1.4,ELSIE AVE,38.47279640205255,-121.417376970641,3.0
1641,2026-01-09,18,0,0.1222,high,0.0735,1.66,FLORIN RD,38.49273286530126,-121.42905060732454,3.0
1783,2026-01-09,18,0,0.1222,high,0.0745,1.64,FULTON AVE,38.59689089142744,-121.39869199540628,3.0
54,2026-01-09,17,0,0.1211,high,0.0749,1.62,I-80 W/B,37.81973941984606,-122.31556129042843,3.0
1459,2026-01-09,18,0,0.1209,high,0.0844,1.43,I-238 N/B,37.68627091010766,-122.10754598838344,3.0
1279,2026-01-09,16,1,0.1201,high,0.093,1.29,SR-29,38.22338805186524,-122.26149887853768,3.0
