hotspot_id,slot_date,slot_hour,crash_occurred,risk_score,risk_tier,baseline_rate,relative_risk,primary_road,center_lat,center_lng,district_id
250,2026-01-23,17,1,0.2577,critical,0.1013,2.54,US-101 N/B,37.54584403425096,-122.29267996949302,3.0
223,2026-01-23,17,0,0.2465,critical,0.1255,1.96,I-5 N/B,38.62393761958439,-121.51401045422962,3.0
250,2026-01-23,15,0,0.2434,critical,0.1013,2.4,US-101 N/B,37.54584403425096,-122.29267996949302,3.0
1348,2026-01-23,17,0,0.239,critical,0.101,2.37,SR-37 E/B,38.14980428980558,-122.45118708320892,3.0
275,2026-01-23,18,0,0.1619,critical,0.079,2.05,I-880 N/B,37.606291837124125,-122.06090825420868,3.0
76,2026-01-23,17,0,0.1584,critical,0.0987,1.61,I-680 N/B,37.91321573892839,-122.07097401981076,3.0
1753,2026-01-23,17,0,0.1533,critical,0.107,1.43,SUNRISE BLVD,38.638763079362015,-121.27604859476376,3.0
100,2026-01-23,15,1,0.1495,critical,0.0982,1.52,I-80 E/B,37.87497196577323,-122.30470407566952,3.0
179,2026-01-23,18,1,0.1463,critical,0.0802,1.82,I-580 E/B,37.7027859090899,-121.76707148446654,3.0
196,2026-01-23,17,0,0.1416,critical,0.0918,1.54,US-50 E/B,38.56776023791977,-121.49689757980995,3.0
275,2026-01-23,17,0,0.1399,critical,0.0907,1.54,I-880 N/B,37.606291837124125,-122.06090825420868,3.0
1664,2026-01-23,15,0,0.1383,critical,0.1096,1.26,HOWE AVE,38.5863793026831,-121.41240874121512,3.0
62,2026-01-23,17,0,0.1383,critical,0.0894,1.55,I-80 E/B,37.77590978451556,-122.40787564835524,3.0
179,2026-01-23,17,0,0.1383,critical,0.0896,1.54,I-580 E/B,37.7027859090899,-121.76707148446654,3.0
1530,2026-01-23,17,0,0.137,critical,0.0791,1.73,MARKET ST,37.97079971313651,-122.04951278375846,3.0
62,2026-01-23,18,0,0.1369,critical,0.0754,1.81,I-80 E/B,37.77590978451556,-122.40787564835524,3.0
76,2026-01-23,18,0,0.1356,critical,0.0807,1.68,I-680 N/B,37.91321573892839,-122.07097401981076,3.0
50,2026-01-23,17,0,0.1351,critical,0.0794,1.7,I-80 W/B,37.866741820403554,-122.30774359928584,3.0
1683,2026-01-23,15,0,0.1336,critical,0.1111,1.2,FLORIN RD,38.49860212283528,-121.436460910457,3.0
1677,2026-01-23,16,0,0.1335,critical,0.102,1.31,FLORIN RD,38.49395057825972,-121.45756784647276,3.0
51,2026-01-23,18,0,0.1312,critical,0.0734,1.79,I-80 W/B,37.85266761563517,-122.30340854103756,3.0
76,2026-01-23,15,1,0.1306,critical,0.0897,1.46,I-680 N/B,37.91321573892839,-122.07097401981076,3.0
