hotspot_id,slot_date,slot_hour,crash_occurred,risk_score,risk_tier,baseline_rate,relative_risk,primary_road,center_lat,center_lng,district_id
1518,2026-01-08,17,0,0.2508,critical,0.1085,2.31,I-680 N/B,37.98251057853568,-122.06427332319596,3.0
249,2026-01-08,17,0,0.2462,critical,0.1179,2.09,US-101 N/B,37.53997734680946,-122.28532820290184,3.0
2022,2026-01-08,17,1,0.2404,critical,0.1013,2.37,AIRPORT WY,37.95445832014117,-121.27823680493827,3.0
1559,2026-01-08,16,0,0.2237,critical,0.1012,2.21,LINCOLN WAY,38.92575797143526,-121.05763697779996,3.0
242,2026-01-08,18,0,0.1926,critical,0.1028,1.87,SR-51 S/B,38.63550100267892,-121.3935040335774,3.0
192,2026-01-08,17,0,0.1724,critical,0.1095,1.57,SR-65 N/B,38.79203186041489,-121.2942897465517,3.0
208,2026-01-08,17,1,0.1707,critical,0.1075,1.59,SR-51 N/B,38.57474874250542,-121.46522285338249,3.0
32,2026-01-08,17,0,0.1656,critical,0.0974,1.7,US-101 S/B,38.43306861706008,-122.71891226121843,3.0
275,2026-01-08,18,1,0.1582,critical,0.079,2.0,I-880 N/B,37.606291837124125,-122.06090825420868,3.0
40,2026-01-08,6,0,0.1516,critical,0.0912,1.66,I-80 E/B,37.82451288147054,-122.29474158800733,3.0
100,2026-01-08,15,1,0.149,critical,0.0982,1.52,I-80 E/B,37.87497196577323,-122.30470407566952,3.0
204,2026-01-08,8,1,0.147,critical,0.1049,1.4,I-80 W/B,38.57365783536463,-121.57191652821238,3.0
1518,2026-01-08,18,0,0.1463,critical,0.0814,1.8,I-680 N/B,37.98251057853568,-122.06427332319596,3.0
1393,2026-01-08,17,0,0.1445,critical,0.1032,1.4,US-101 N/B,37.9021532067726,-122.5137695388498,3.0
191,2026-01-08,15,0,0.1435,critical,0.0901,1.59,SR-65 S/B,38.78617211289298,-121.28686010421568,3.0
57,2026-01-08,17,0,0.1412,critical,0.0922,1.53,I-80 W/B,37.83274535811673,-122.29170201637908,3.0
181,2026-01-08,8,0,0.1404,critical,0.0861,1.63,I-580 WESTBOUND,37.69810105214203,-121.78796006882418,3.0
275,2026-01-08,17,0,0.1394,critical,0.0907,1.54,I-880 N/B,37.606291837124125,-122.06090825420868,3.0
1843,2026-01-08,15,0,0.1392,critical,0.1106,1.26,SR-92 W/B,37.55647272735607,-122.27926325432712,3.0
213,2026-01-08,17,0,0.1378,critical,0.089,1.55,US-50 W/B,38.55129656279677,-121.43556132680922,3.0
106,2026-01-08,16,0,0.1361,critical,0.079,1.72,US-101 N/B,37.61962935907913,-122.39867823231,3.0
1683,2026-01-08,15,0,0.1345,critical,0.1111,1.21,FLORIN RD,38.49860212283528,-121.436460910457,3.0
57,2026-01-08,15,0,0.1333,critical,0.0922,1.45,I-80 W/B,37.83274535811673,-122.29170201637908,3.0
314,2026-01-08,17,0,0.1327,critical,0.0881,1.51,SR-4 E/B,37.96136987698192,-121.24669376170104,3.0
205,2026-01-08,8,0,0.1325,critical,0.0772,1.72,I-80 W/B,38.575994465608034,-121.56136528938008,3.0
158,2026-01-08,8,0,0.1302,critical,0.0837,1.56,SR-4 W/B,38.01910929106772,-121.93574002983114,3.0
1769,2026-01-08,18,0,0.1297,critical,0.0784,1.65,ANTELOPE RD,38.70670280096459,-121.30792158334216,3.0
213,2026-01-08,8,0,0.1292,critical,0.0848,1.52,US-50 W/B,38.55129656279677,-121.43556132680922,3.0
