hotspot_id,slot_date,slot_hour,crash_occurred,risk_score,risk_tier,baseline_rate,relative_risk,primary_road,center_lat,center_lng,district_id
1422,2026-01-31,0,0,0.1642,critical,0.0808,2.03,SAN PABLO DAM ROAD,37.96653689164175,-122.29946740675312,3.0
147,2026-01-31,18,0,0.1332,critical,0.0794,1.68,US-101 S/B,37.988833408721646,-122.52953814009526,3.0
41,2026-01-31,16,0,0.1208,critical,0.0785,1.54,I-580 E/B,37.811734233029824,-122.25180374318556,3.0
41,2026-01-31,15,0,0.1205,critical,0.0909,1.33,I-580 E/B,37.811734233029824,-122.25180374318556,3.0
208,2026-01-31,17,0,0.1205,critical,0.1075,1.12,SR-51 N/B,38.57474874250542,-121.46522285338249,3.0
1283,2026-01-31,18,0,0.1154,critical,0.0786,1.47,I-80 E/B,38.12511208212932,-122.23110603674176,3.0
1370,2026-01-31,18,0,0.1154,critical,0.0782,1.48,NUT TREE RD,38.35323017747061,-121.9541156010311,3.0
2018,2026-01-31,18,0,0.112,critical,0.0736,1.52,AIRPORT WY,37.96268278184855,-121.2750934968608,3.0
138,2026-01-31,17,0,0.1091,critical,0.0721,1.51,I-580 W/B,37.78374039297805,-122.17634255585638,3.0
1457,2026-01-31,18,0,0.1086,critical,0.0731,1.49,MEEKLAND AVENUE,37.68390164906393,-122.11795929568176,3.0
1280,2026-01-31,18,0,0.1071,critical,0.076,1.41,SONOMA BL,38.14260023032084,-122.25328588118906,3.0
1666,2026-01-31,14,1,0.1065,critical,0.107,1.0,HOWE AVE,38.57819062351894,-121.41555756197188,3.0
228,2026-01-31,18,0,0.1063,critical,0.0711,1.5,I-5 S/B,38.58766494233762,-121.50859184452108,3.0
1458,2026-01-31,18,0,0.1058,critical,0.0735,1.44,I-238 N/B,37.68977195977,-122.12531965403991,3.0
1504,2026-01-31,18,0,0.1058,critical,0.0733,1.44,SR-242 N/B,37.987248148784566,-122.0433760919151,3.0
294,2026-01-31,18,0,0.1041,critical,0.0714,1.46,I-880 S/B,37.65804306353738,-122.09893513468153,3.0
1548,2026-01-31,18,0,0.104,critical,0.0753,1.38,FIRST ST,37.7015678858547,-121.7388206891773,3.0
208,2026-01-31,15,0,0.1036,critical,0.0785,1.32,SR-51 N/B,38.57474874250542,-121.46522285338249,3.0
104,2026-01-31,15,0,0.1028,critical,0.0989,1.04,US-101 S/B,37.59035419830106,-122.36189351473872,3.0
160,2026-01-31,18,0,0.1023,critical,0.1016,1.01,SR-4 E/B,38.0084285218505,-122.01633092758996,3.0
1973,2026-01-31,18,0,0.1023,critical,0.0714,1.43,HAMMER LN,38.01923992742678,-121.29200821879736,3.0
123,2026-01-31,17,0,0.1022,critical,0.0875,1.17,I-280 S/B,37.64063718780316,-122.43849487035614,3.0
1805,2026-01-31,18,0,0.1013,critical,0.0706,1.43,EL CAMINO AVE,38.60861845318951,-121.41352735761636,3.0
1862,2026-01-31,18,1,0.1013,critical,0.0695,1.46,GROVE WAY,37.68749985322248,-122.06893897396444,3.0
1996,2026-01-31,18,0,0.1013,critical,0.0692,1.46,MARCH LN,37.98533785119613,-121.3434866974418,3.0
1638,2026-01-31,18,0,0.1006,high,0.0688,1.46,STOCKTON BLVD,38.50092662674204,-121.42590572896444,3.0
1731,2026-01-31,18,0,0.1006,high,0.0692,1.45,ELVERTA RD,38.71036293742002,-121.39369654118002,3.0
